policy_id,page_or_area,rule_type,required_text_or_rule,status,execution_status,reason,next_step
FD-DISC-001,all_first_wave_pages,article_disclaimer,"Visible Hebrew general-information disclaimer: information is general only and not legal advice",VERIFIED_PLANNING,NOT_EXECUTED,Every Family/Divorce page is YMYL and facts-dependent,Add before preview/public upload
FD-DISC-002,all_lead_or_contact_ctas,cta_disclaimer,"Lead/contact request does not create attorney-client relationship and is not legal advice",VERIFIED_PLANNING,NOT_EXECUTED,CTA must not imply the website gives advice,Add beside forms or request CTAs
FD-DISC-003,urgent_risk_sections,urgent_warning,"If immediate danger violence child-safety or emergency exists users should not rely only on the website",VERIFIED_PLANNING,NOT_EXECUTED,Family/crisis users may need urgent help,Add only where urgent-risk topics appear
FD-DISC-004,/divorce-lawyer/,page_disclaimer,General disclaimer plus no guaranteed outcome/timeline/cost,VERIFIED_PLANNING,NOT_EXECUTED,Primary pillar covers broad sensitive topics,Verify in final draft
FD-DISC-005,/consensual-divorce/,agreement_warning,Agreement needs individual legal review before signing,VERIFIED_PLANNING,NOT_EXECUTED,Templates and consent can be unsafe in pressure/fear/assets cases,Verify in final draft
FD-DISC-006,/divorce-mediation/,mediation_warning,Mediation is not suitable for every case and not guaranteed to save cost/time,VERIFIED_PLANNING,NOT_EXECUTED,Avoid overpromising peaceful path,Verify in final draft
FD-DISC-007,/child-support/,calculator_boundary,No automatic or binding child-support calculator or fixed amount promise,VERIFIED_PLANNING,NOT_EXECUTED,Child support depends on facts and current law,Verify in final draft
FD-DISC-008,/child-custody/,child_safety_boundary,Cautious custody/parenting-time language and no unilateral-action instruction,VERIFIED_PLANNING,NOT_EXECUTED,Child-related legal content is high sensitivity,Verify in final draft
FD-DISC-009,/divorce-property-division/,asset_boundary,No entitlement guarantees and no advice to hide/move/pressure around assets,VERIFIED_PLANNING,NOT_EXECUTED,Property division depends on evidence and facts,Verify in final draft
FD-DISC-010,/family-dispute-resolution/,procedure_boundary,Procedure/timing/exceptions need current review and urgent cases may need direct legal action,VERIFIED_PLANNING,NOT_EXECUTED,Process pages can mislead if deadlines/exceptions are simplified,Verify in final draft
FD-DISC-011,cta_language,allowed_language,"בדיקה ראשונית|פנייה לעורך דין מתאים|הכנת שאלות לפגישה|בדיקת התאמה ראשונית",VERIFIED_PLANNING,NOT_EXECUTED,Neutral conversion language is acceptable,Use in copy review
FD-DISC-012,cta_language,caution_language,"ייעוץ ראשוני only if flow clearly connects to a lawyer or says request for advice",VERIFIED_PLANNING,NOT_EXECUTED,Avoid implying website itself gives legal advice,Use in copy review
FD-DISC-013,trust_language,blocked_terms,"הכי טוב|מומלץ ביותר|מוביל|מדורג|חוות דעת מאומתות|לקוחות ממליצים|trusted|top|stars",VERIFIED_PLANNING,NOT_EXECUTED,No fake trust/review/ranking claims,Scan final copy
FD-DISC-014,outcome_language,blocked_promises,"Guaranteed result|guaranteed timeline|fixed child-support amount|guaranteed cost|quick divorce promise",VERIFIED_PLANNING,NOT_EXECUTED,Avoid misleading legal claims,Scan final copy
FD-DISC-015,maya_profile,profile_boundary,Use verified facts only and no ranking/review/badge language,VERIFIED_PLANNING,NOT_EXECUTED,Maya mini-site/profile is separate compliance gate,Approve profile copy separately
FD-DISC-016,review_schema,schema_boundary,No Review AggregateRating FAQ schema or review markup in first disclaimer gate,BLOCKED,NOT_EXECUTED,Review/reputation module and legal review not approved,Keep schema out until approved
FD-DISC-017,post_upload_qa,visible_disclaimer_check,Each first-wave page has visible disclaimer after preview/upload,BLOCKED,NOT_EXECUTED,No preview or upload exists yet,Run after upload/preview
FD-DISC-018,post_upload_qa,cta_disclaimer_check,Each lead/contact block has CTA disclaimer after preview/upload,BLOCKED,NOT_EXECUTED,No preview or upload exists yet,Run after upload/preview
FD-DISC-019,post_upload_qa,fake_trust_scan,No fake ratings badges review counts recommendation labels or ranking terms,BLOCKED,NOT_EXECUTED,No preview or upload exists yet,Run after upload/preview
FD-DISC-020,post_upload_qa,no_review_schema_scan,No review or aggregate-rating schema appears,BLOCKED,NOT_EXECUTED,No preview or upload exists yet,Run after upload/preview
