cluster,query_examples,route,clicks_90d,impressions_90d,average_position,top_query,gsc_page_role,decision_after_export,go_rule,notes_no_pii
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/practice-areas/criminal-law/,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/criminal-lawyer/,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/criminal-lawyer-jerusalem/,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/criminal-defense-attorney/,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/sex-crime-lawyer/,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/traffic-lawyer/,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/lawyers/?city=jerusalem&practice=criminal-law,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_jerusalem_exact,עורך דין פלילי ירושלים | עורך דין פלילי בירושלים | עורך דין פלילי ירושלים המלצה,/find-lawyer-how-to-find-good-attorney/,,,,,,,"If Jerusalem local terms land on /criminal-lawyer-jerusalem/ with impressions/clicks, preserve role and improve cautiously.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/practice-areas/criminal-law/,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/criminal-lawyer/,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/criminal-lawyer-jerusalem/,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/criminal-defense-attorney/,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/sex-crime-lawyer/,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/traffic-lawyer/,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/lawyers/?city=jerusalem&practice=criminal-law,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_lawyer_broad,עורך דין פלילי | עורך דין פלילי מומלץ | עורך דין פלילי טוב,/find-lawyer-how-to-find-good-attorney/,,,,,,,"If broad terms land on local Jerusalem page, central pillar split is urgent before expansion.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/practice-areas/criminal-law/,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/criminal-lawyer/,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/criminal-lawyer-jerusalem/,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/criminal-defense-attorney/,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/sex-crime-lawyer/,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/traffic-lawyer/,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/lawyers/?city=jerusalem&practice=criminal-law,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
criminal_defense_broad,עורך דין פלילי הגנה | עורך דין פלילי כתב אישום | עורך דין פלילי חקירה,/find-lawyer-how-to-find-good-attorney/,,,,,,,"Route broad defense intent to central/broad defense surface, not necessarily local page.",
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/practice-areas/criminal-law/,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/criminal-lawyer/,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/criminal-lawyer-jerusalem/,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/criminal-defense-attorney/,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/sex-crime-lawyer/,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/traffic-lawyer/,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/lawyers/?city=jerusalem&practice=criminal-law,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
specialist_sex_crime,עורך דין עבירות מין | עבירות מין עורך דין | חקירה עבירות מין,/find-lawyer-how-to-find-good-attorney/,,,,,,,Keep specialist intent on specialist page unless GSC proves local modifier demand.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/practice-areas/criminal-law/,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/criminal-lawyer/,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/criminal-lawyer-jerusalem/,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/criminal-defense-attorney/,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/sex-crime-lawyer/,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/traffic-lawyer/,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/lawyers/?city=jerusalem&practice=criminal-law,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
traffic_adjacent,עורך דין תעבורה פלילי | עבירת תנועה פלילית | נהיגה בשכרות עורך דין,/find-lawyer-how-to-find-good-attorney/,,,,,,,Keep traffic intent on traffic page unless legal/SEO approves a small cross-link.,
