"cluster","current_url_count","matched_content_bodies","gsc_clicks_3m","gsc_impressions_3m","cannibalization_count","traffic_risk_count","missing_taxonomy_count","business_value","implementation_complexity","recommended_order","decision","decision_reason"
"family-law","188","NEEDS_MATCH",,,"188","39","188","HIGH","HIGH","11","LATER","Too broad (188 URLs), cannibalization risk high, many subtopics - requires owner involvement before launch"
"criminal-law","140","NEEDS_MATCH","3216","796250","140","42","140","HIGH","MEDIUM","1","START_HERE","Commercially valuable, clear intent groups, 140 URLs, SERP reviewed, narrower than family-law, urgent CTA opportunity"
"real-estate","77","NEEDS_MATCH","1025","570198","77","28","77","HIGH","HIGH","10","LATER","Standard priority order by complexity and business value"
"employment-law","70","NEEDS_MATCH","573","137717","70","10","70","HIGH","HIGH","9","LATER","Standard priority order by complexity and business value"
"legal-database-rulings","69","NEEDS_MATCH","1103","133336","69","5","69","LOW","LOW","12","LATER","Low commercial value, rulings format needs special handling"
"medical-malpractice","47","NEEDS_MATCH","466","201338","47","9","47","HIGH","MEDIUM","6","LATER","Standard priority order by complexity and business value"
"notary-foreign","39","NEEDS_MATCH","848","163847","39","15","39","MEDIUM","LOW","3","FALLBACK_2","Small cluster (39 URLs), low competition, clear operational intent"
"tax-law","29","NEEDS_MATCH","321","120212","29","6","29","MEDIUM","MEDIUM","7","LATER","Standard priority order by complexity and business value"
"traffic-law","25","NEEDS_MATCH","379","79458","25","6","25","MEDIUM","LOW","2","FALLBACK_1","Smaller (25 URLs), lower risk, good fallback if criminal too complex"
"personal-injury","21","NEEDS_MATCH","268","66675","21","5","21","HIGH","MEDIUM","5","LATER","Standard priority order by complexity and business value"
"inheritance-wills","18","NEEDS_MATCH","335","81447","18","4","18","MEDIUM","MEDIUM","4","LATER","Standard priority order by complexity and business value"
"cyber-privacy","12","NEEDS_MATCH","100","40495","12","3","12","MEDIUM","LOW","8","LATER","Standard priority order by complexity and business value"
