field_key,label,field_type,cms_source,required_for_free,required_for_pro,required_for_featured,required_for_lead_partner,required_for_mini_site,public_display,seo_use,analytics_use,notes,status
lawyer_name,"שם עורך הדין","text","justice_lawyer title","YES","YES","YES","YES","YES","YES","title/H1/schema","profile identity","Must be real or draft/private","PARTIAL"
firm_name,"שם המשרד","text","post meta","NO","YES","YES","YES","YES","YES","schema/brand/entity","profile quality","Do not invent firm name","NEEDS_CMS_FIELD_REVIEW"
profile_photo,"תמונה מקצועית","image","featured image/meta","NO","YES","YES","YES","YES","YES","image SEO/trust","card engagement","Use approved photo or neutral placeholder","NOT VERIFIED"
firm_logo,"לוגו משרד","image","post meta/media","NO","NO","YES","YES","YES","YES","brand/entity","mini-site quality","Optional and owner/lawyer supplied","PLANNED"
practice_areas,"תחומי עיסוק","taxonomy","practice-areas/cpt meta","YES","YES","YES","YES","YES","YES","internal links/schema","lead routing","Must map to canonical clusters","PARTIAL"
cities_served,"אזורים וערים","taxonomy/meta","city taxonomy","NO","YES","YES","YES","YES","YES","local SEO","lead routing","Avoid thin city doorway pages","PARTIAL"
languages,"שפות שירות","multi_select","post meta","NO","YES","YES","YES","YES","YES","user intent","lead routing","Useful for conversion and accessibility","PLANNED"
bio,"ביוגרפיה מקצועית","rich_text","post content/meta","NO","YES","YES","YES","YES","YES","entity/long-tail","engagement","Must be factual and reviewed","PARTIAL"
services,"שירותים משפטיים","repeater","post meta","NO","YES","YES","YES","YES","YES","topic relevance","lead qualification","Connect services to pillars","PLANNED"
office_address,"כתובת משרד","address","post meta","NO","NO","YES","YES","YES","YES_IF_APPROVED","local SEO/schema","location filtering","Only if public/approved","PLANNED"
phone,"טלפון","tel","post meta/customizer fallback","NO","YES","YES","YES","YES","YES","conversion","phone_click","Use real approved number only","PARTIAL"
whatsapp,"וואטסאפ","tel/url","post meta/customizer fallback","NO","NO","YES","YES","YES","YES","conversion","whatsapp_click","Avoid fake seed numbers","PARTIAL_RISK"
lead_form_enabled,"טופס פנייה","boolean","post meta","NO","YES","YES","YES","YES","YES","conversion","generate_lead","Must route assigned_lawyer_id","PARTIAL"
connected_articles,"מאמרים מחוברים","relationship","article meta","NO","YES","YES","YES","YES","YES","internal linking/entity","article_cta_click","Attach only relevant articles","PARTIAL"
faq,"שאלות ותשובות","repeater","post meta/content","NO","NO","YES","YES","YES","YES","FAQ/schema if valid","engagement","No unsupported legal claims","PLANNED"
videos,"וידאו / מדיה","media/url","post meta","NO","NO","NO","YES","YES","YES","rich profile","engagement","Only approved public media","PLANNED"
bar_license_status,"סטטוס לשכה / רישיון","text","verified source/admin","NO","NO","NO","YES","YES","YES_IF_VERIFIED","trust/schema","profile completeness","Do not display unless verified","BLOCKED_OWNER_REVIEW"
verification_status,"סטטוס אימות","select","admin meta","NO","NO","YES","YES","YES","YES_IF_TRUE","trust","profile trust","Must be truthful and auditable","PLANNED"
profile_completeness,"שלמות פרופיל","calculated","admin logic","NO","YES","YES","YES","YES","NO","admin quality","sales/account","Internal admin indicator","PLANNED"
