loser_url,winner_url,loser_clicks_16mo,loser_impressions_16mo,rationale
/real-estate-lawyer-guide/,/real-estate-attorney/,9.0,32247.0,16mo 9c/32247i vs 23c/130087i; duplicate; backlink-check.
/guide-buying-property-portugal-israelis/,/buying-property-in-portugal/,27.0,18465.0,16mo 27c/18465i vs 38c/27328i; duplicate; backlink-check.
/immigration-to-portugal/,/portugal-relocation/,10.0,9176.0,16mo 10c/9176i vs 93c/14182i; duplicate; backlink-check.
/criminal-law-price-list-lawyer-recommended-review-costs/,/how-much-will-a-criminal-defense-lawyer-cost/,36.0,2045.0,16mo 36c/2045i vs 448c/35161i; duplicate; backlink-check.
/lawyer-divorce/,/divorce-everything-you-need-to-know/,0.0,1402.0,16mo 0c/1402i vs 6c/10245i; duplicate; backlink-check.
/surgical-errors-medical-malpractice/,/medical-malpractice-surgery/,0.0,1226.0,16mo 0c/1226i vs 0c/1443i; duplicate; backlink-check.
/divorce-lawyer-cost/,/divorce-costs-2025/,0.0,766.0,16mo 0c/766i vs 31c/15012i; duplicate; backlink-check.
/top-criminal-lawyer-tel-aviv/,/criminal-defense-attorney/,0.0,465.0,16mo 0c/465i vs 12c/80964i; duplicate; backlink-check.
/עלות-עורך-דין-פלילי-מחירים-שכר-טרחה-ומ/,/how-much-will-a-criminal-defense-lawyer-cost/,4.0,366.0,16mo 4c/366i vs 448c/35161i; duplicate; backlink-check.
/driving-under-influence/,/driving-under-the-influence/,0.0,361.0,16mo 0c/361i vs 0c/22000i; duplicate; backlink-check.
/lawyer-divorce-israel/,/divorce-everything-you-need-to-know/,0.0,246.0,16mo 0c/246i vs 6c/10245i; duplicate; backlink-check.
/family-law-lawyer-divorce-wills-law-recommendations/,/must-have-traits-of-a-good-family-lawyer/,0.0,194.0,16mo 0c/194i vs 3c/1564i; duplicate; backlink-check.
/criminal-lawyer-cost/,/how-much-will-a-criminal-defense-lawyer-cost/,1.0,179.0,16mo 1c/179i vs 448c/35161i; duplicate; backlink-check.
/car-accident-lawyer-punishment-offenses-criminal/,/punishment-for-offenses-of-causing-death-in-road-accidents/,0.0,151.0,16mo 0c/151i vs 36c/7214i; duplicate; backlink-check.
/real-estate-lawyer-dimona/,/real-estate-attorney/,0.0,114.0,16mo 0c/114i vs 23c/130087i; duplicate; backlink-check.
/family-law-lawyer-recommended-divorce-wills-inheritances/,/divorce-everything-you-need-to-know/,0.0,111.0,16mo 0c/111i vs 6c/10245i; duplicate; backlink-check.
/criminal-lawyer-rosh-haayin/,/criminal-defense-attorney/,0.0,93.0,16mo 0c/93i vs 12c/80964i; duplicate; backlink-check.
