query,page,clicks,impressions,ctr,position
אחוז הגירושין בישראל 2025,https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,56,831,0.06738868832731648,3.401925391095066
הלכת אלקצאצי,https://jus-tice.co.il/psakdin/%D7%94%D7%9C%D7%9B%D7%AA-%D7%90%D7%9C%D7%A7%D7%A6%D7%90%D7%A6%D7%99-%D7%9E%D7%A9%D7%9A-%D7%94%D7%94%D7%9E%D7%AA%D7%A0%D7%94-%D7%9E%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%9C%D7%99%D7%9A-%D7%A4%D7%A9/,32,184,0.17391304347826086,2.4239130434782608
הסכם גירושין ללא עורך דין להורדה,https://jus-tice.co.il/free-divorce-agreement-template/,32,815,0.0392638036809816,5.414723926380368
חוזה שכירות סטנדרטי 2025,https://jus-tice.co.il/online-rent-agreement/,29,386,0.07512953367875648,5.629533678756476
נוטריון ישראלי בניו יורק,https://jus-tice.co.il/notary-public-new-york/,26,162,0.16049382716049382,3.3518518518518516
איתן בייקר עורך דין,https://jus-tice.co.il/baker-mckenzie/,22,211,0.10426540284360189,4.497630331753554
אביגיל ון קרפלד,https://jus-tice.co.il/%D7%92%D7%99%D7%9C%D7%95%D7%99-%D7%A0%D7%90%D7%95%D7%AA-%D7%97%D7%A1%D7%A8-%D7%A9%D7%A0%D7%A2%D7%A9%D7%94-%D7%91%D7%A2%D7%A1%D7%A7%D7%AA-%D7%9E%D7%9B%D7%A8-%D7%91%D7%A8%D7%A9%D7%AA-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98/,21,308,0.06818181818181818,5.311688311688312
חיפוש עורך דין לפי שם,https://jus-tice.co.il/,21,3891,0.005397070161912105,9.328450269853509
כמה מרוויח עורך דין פלילי,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A9%D7%9B%D7%A8-%D7%9B%D7%9E%D7%94-%D7%9E%D7%A8%D7%95%D7%95%D7%99%D7%97-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C/,20,223,0.08968609865470852,1.6995515695067265
רשות ניירות ערך בעלי תפקידים,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,20,171,0.11695906432748537,4.883040935672515
אביים ברקאי,https://jus-tice.co.il/%D7%AA%D7%91%D7%99%D7%A2%D7%AA-%D7%A9%D7%9B%D7%A8-%D7%98%D7%A8%D7%97%D7%94-%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9B%D7%A0%D7%92%D7%93-%D7%9C%D7%A7%D7%95%D7%97%D7%94/,19,1603,0.011852776044915784,4.316905801621958
פתיחת חשבון בנק בפורטוגל,https://jus-tice.co.il/bank-account-in-portugal/,19,157,0.12101910828025478,2.9872611464968153
הילה גורביץ עובדיה,https://jus-tice.co.il/decision5987-10-16/,18,271,0.06642066420664207,4.841328413284133
ענת הלר כריש,https://jus-tice.co.il/30767-05-21/,18,454,0.039647577092511016,5.629955947136564
להב 433 הגשת תלונה,https://jus-tice.co.il/lahav-433/,17,440,0.038636363636363635,7.5636363636363635
תוצרת כחול לבן טלגרם,https://jus-tice.co.il/53431-10-21/,17,2855,0.005954465849387041,8.798248686514885
דיוויד צ'סנוף,https://jus-tice.co.il/articles/%D7%93%D7%99%D7%95%D7%95%D7%99%D7%93-%D7%A6%D7%A1%D7%A0%D7%95%D7%A3-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-david-chesnoff/,16,53,0.3018867924528302,1.3018867924528301
כתיבה משפטית,https://jus-tice.co.il/legal-writing/,16,309,0.05177993527508091,5.300970873786408
סוגי רופאים,https://jus-tice.co.il/%D7%A1%D7%95%D7%92%D7%99%D7%9D-%D7%A9%D7%95%D7%A0%D7%99%D7%9D-%D7%A9%D7%9C-%D7%A8%D7%95%D7%A4%D7%90%D7%99%D7%9D/,16,414,0.03864734299516908,4.193236714975845
סעיף כוח עליון דוגמא,https://jus-tice.co.il/force-majeure/,16,87,0.1839080459770115,1.0459770114942528
שלי פרקש,https://jus-tice.co.il/%D7%A6%D7%95-%D7%9E%D7%A0%D7%99%D7%A2%D7%94-%D7%96%D7%9E%D7%A0%D7%99-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%93%D7%99%D7%A1%D7%A4%D7%95%D7%96%D7%99%D7%A6%D7%99%D7%94-%D7%91%D7%9E%D7%A0%D7%99%D7%95%D7%AA/,16,203,0.07881773399014778,3.3842364532019706
