current_url,gsc_clicks_export,gsc_impressions_export,gsc_ctr_export,gsc_position_export,top_queries,traffic_risk,primary_cluster,recommended_action,cannibalization_group
https://jus-tice.co.il/,0,321,0.00%,9.0,חיפוש עורך דין לפי שם (3c/582i/p8.1) | ייעוץ עורך דין אונליין חינם (3c/80i/p10.9) | חיפוש עורכי דין (2c/267i/p10.0) | איתור עורך דין (1c/347i/p7.2) | חיפוש עורך דין (1c/227i/p8.2),LOW,UNKNOWN,NEEDS_MERGE_REVIEW,ייעוץ עורך דין אונליין חינם | עורכי דין בתל אביב | התייעצות עם עורך דין | מצא עורך דין | פגישת ייעוץ משפטי | אינדקס עורכי דין משפחה | ייעוץ+משפטי+פרטי | ייעוץ+משפטי+בינלאומי | מאגר עורכי דין סיוע משפטי | לשכת עורכי הדין איתור עורך דין | עורך דין איטליה | jus-tice.co.il | הדרכת+בינה+מלאכותית+לעורכי+דין+ונוטריונים | עורך+דין+חוות+דעת
https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA,19,1595,1.19%,39.2,חלוקת חובות בגירושין (0c/3i/p78.0) | חובות הבעל לאשתו (0c/2i/p70.0) | האם אישה חייבת בחובות בעלה (0c/1i/p65.0) | זכויות אישה שבעלה עזב את הבית (0c/1i/p71.0) | שיתוף חובות לאחר גירושין (0c/1i/p27.0),MEDIUM,family-law,NEEDS_MERGE_REVIEW,תביעה לאיזון משאבים דוגמא | שיתוף חובות לאחר גירושין
https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D,7,2382,0.29%,53.8,העלמת כספים בגירושין (0c/21i/p75.7) | איזון אופציות לפי מועד הקרע (0c/1i/p30.0) | הברחת נכסים בין בני זוג (0c/1i/p31.0) | עו ד נלי גורביץ (0c/1i/p76.0),MEDIUM,family-law,NEEDS_MERGE_REVIEW,העלמת כספים בגירושין
https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%A8%D7%99%D7%9D/%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%95%D7%94%D7%9E%D7%A8%D7%9B%D7%96,0,14,0.00%,15.9,UNKNOWN,LOW,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%A0%D7%9B%D7%95%D7%9F-%D7%95%D7%9E%D7%94%D7%A8,0,12,0.00%,30.9,UNKNOWN,LOW,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A1%D7%95%D7%9B%D7%9F-%D7%A0%D7%93%D7%9C%D7%9F-%D7%98%D7%95%D7%91,0,4,0.00%,7.5,UNKNOWN,LOW,real-estate,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%96%D7%95%D7%9C-%D7%95%D7%9C%D7%94%D7%A8%D7%95%D7%95%D7%99%D7%97,14,4427,0.32%,41.5,UNKNOWN,MEDIUM,real-estate,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%99%D7%9E%D7%95%D7%AA-%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F-%D7%9E%D7%A9%D7%95%D7%9C%D7%91-%D7%A2%D7%91%D7%A8%D7%99%D7%AA-%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA,1,905,0.11%,46.2,"אימות נוטריון (0c/22i/p49.4) | נוטריון אנגלית (0c/18i/p47.4) | נוטריון אמריקאי (0c/16i/p64.7) | אימות חתימה באנגלית (0c/8i/p10.3) | אימות חתימה לנוטריון בחו""ל (0c/6i/p36.0)",LOW,notary-foreign,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D,107,31186,0.34%,32.2,UNKNOWN,HIGH,real-estate,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%9B%D7%93%D7%90%D7%99-%D7%9C%D7%94%D7%A9%D7%A7%D7%99%D7%A2-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%93%D7%95%D7%91%D7%90%D7%99,59,16161,0.37%,26.0,UNKNOWN,HIGH,real-estate,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,UNKNOWN
