שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
פאהן קנה Grant Thornton Israel,רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
"ברלב ושות', רואי חשבון",רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
EY ישראל – קוסט פורר גבאי את קסירר,רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
Deloitte Israel,רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
PwC Israel,רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
"רוזנבלום הולצמן ושות', רואי חשבון",רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
BDO ישראל,רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
בן אבי אי.בי.איי,רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
מונרוב ושות',רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
"ליאון, אורליצקי ושות'",רואי חשבון חקירתיים,ביקורת חקירתית,,,,,,https://www.duns100.co.il/rating/%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F/%D7%9E%D7%A9%D7%A8%D7%93%D7%99_%D7%A8%D7%95%D7%90%D7%99_%D7%97%D7%A9%D7%91%D7%95%D7%9F_%D7%91%D7%AA%D7%97%D7%95%D7%9D_%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA_%D7%97%D7%A7%D7%99%D7%A8%D7%AA%D7%99%D7%AA,,2026-07-19,נכלל בדירוג Duns 100 לשנת 2025 למשרדי רו״ח בתחום ביקורת חקירתית; פרטי קשר ורישיון לא אומתו
