שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
אביהו רפפורט שמאי רכב,שמאי רכב ורכוש,שמאות רכב,חיפה,072-3200142,,,,https://www.d.co.il/80111916/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אריק דהן שמאי רכב,שמאי רכב ורכוש,שמאות רכב,באר שבע,072-3267680,,,,https://www.d.co.il/80028620/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
מצרפי זאב שמאות רכב,שמאי רכב ורכוש,שמאות רכב,אשקלון,072-3267841,,,,https://www.d.co.il/80220096/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אביב שרותי שמאות רכב,שמאי רכב ורכוש,שמאות רכב,באר שבע,054-8068806,,,,https://www.d.co.il/80317969/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
שמאי רכב,שמאי רכב ורכוש,שמאות רכב,מעלה אדומים,050-6473121,,,,https://www.d.co.il/80385823/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
עידו שמאי רכב,שמאי רכב ורכוש,שמאות רכב,,052-5287221,,,,https://www.d.co.il/80331687/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
שמאי רכוש ורכב ארנון בוסי,שמאי רכב ורכוש,שמאות רכב ורכוש,,077-3164933,,,,https://www.d.co.il/80368823/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
שטיבי שמאות - שמאי רכב,שמאי רכב ורכוש,שמאות רכב,,072-3262853,,,,https://www.d.co.il/80311787/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אמיר שמאות רכב,שמאי רכב ורכוש,שמאות רכב,,052-2217290,,,,https://www.d.co.il/80371145/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
חביב שמאות רכב,שמאי רכב ורכוש,שמאות רכב,נס ציונה,08-9300284,,,,https://www.d.co.il/80071164/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אפי שמאות רכב,שמאי רכב ורכוש,שמאות רכב,נתניה,072-3238094,,,,https://www.d.co.il/80274416/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
א.צ שמאות רכב,שמאי רכב ורכוש,שמאות רכב,באר שבע,052-5505879,,,,https://www.d.co.il/80313264/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
דודי אשכנזי שמאי רכב,שמאי רכב ורכוש,שמאות רכב,בת חפר,050-4451113,,,,https://www.d.co.il/80349360/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
רומן סקליאר שמאי רכב,שמאי רכב ורכוש,שמאות רכב,חיפה,050-7648063,,,,https://www.d.co.il/80356408/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
טל אוזון שמאי רכב,שמאי רכב ורכוש,שמאות רכב,,052-2835281,,,,https://www.d.co.il/80362944/49090/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
"שליכטר - שמאות רכוש (""אבן-הבוחן"")",שמאי רכב ורכוש,שמאות רכוש/נזקים,תל אביב,072-3228181,,,,https://www.d.co.il/80038161/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
יהונתן שמאי רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,052-5325651,,,,https://www.d.co.il/80354583/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
שלומי שמאות רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,050-4505154,,,,https://www.d.co.il/80379209/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
דגן שמאות רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,058-7322304,,,,https://www.d.co.il/80351330/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אלי שמאות רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,050-9225220,,,,https://www.d.co.il/80384919/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
רפאל שמאות רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,050-2629120,,,,https://www.d.co.il/80378507/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
מקסימוס שמאות רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,072-2645594,,,,https://www.d.co.il/80360234/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
נעם שמאי רכוש ונזיקין,שמאי רכב ורכוש,שמאות רכוש/נזקים,קרית גת,050-6090500,,,,https://www.d.co.il/80384265/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
א.ד שמאים - שמאי רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,072-3102057,,,,https://www.d.co.il/80366484/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
שמאי רכוש וסוקר סיכונים,שמאי רכב ורכוש,שמאות רכוש/נזקים,נהריה,052-7362702,,,,https://www.d.co.il/80382779/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
נועם גרוסהויס שמאי רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,,054-3006198,,,,https://www.d.co.il/80375182/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
שמאי רכוש איתי אזרן,שמאי רכב ורכוש,שמאות רכוש/נזקים,נתיבות,054-5501444,,,,https://www.d.co.il/80377508/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
קרמר משה- שמאי רכוש,שמאי רכב ורכוש,שמאות רכוש/נזקים,הודיה,072-3218173,,,,https://www.d.co.il/68556620/9010138/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
"גמולב שמאות כללית (1990) בע""מ",שמאי רכב ורכוש,שמאות רכוש/נזקים,ראשון לציון,03-6252424,,,,https://www.d.co.il/4376650/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
"אייל נרקיס בע""מ",שמאי רכב ורכוש,שמאות רכב,תל אביב,03-5611110,,,,https://www.d.co.il/71004720/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
יגאל שגיא,שמאי רכב ורכוש,שמאות רכוש/נזקים,רמת גן,072-3225409,,,,https://www.d.co.il/80062257/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
יוסי שניידרמן - שמאות וסקרים,שמאי רכב ורכוש,שמאות רכב,כפר תבור,04-6769880,,,,https://www.d.co.il/27642720/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אסטל את דן - איתן,שמאי רכב ורכוש,שמאות רכוש/נזקים,רמת אילן גבעת שמואל,03-7369673,,,,https://www.d.co.il/1192630/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
"רוברט מרכוס שמאות בע""מ",שמאי רכב ורכוש,שמאות רכוש/נזקים,תל אביב,072-3223435,,,,https://www.d.co.il/782120/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
גינדי עזרא,שמאי רכב ורכוש,שמאות רכב ורכוש,פתח תקווה,072-3214995,,,,https://www.d.co.il/4216850/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
קוצר נוימן שמאים,שמאי רכב ורכוש,שמאות רכוש/נזקים,רעננה,072-3210879,,,,https://www.d.co.il/36236750/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
א. שמאות ישירה-רכב ורכוש,שמאי רכב ורכוש,שמאות רכב ורכוש,פתח תקווה,072-3262425,,,,https://www.d.co.il/41178670/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אסטים הערכות תכשיטים; אומנות ואוספים,שמאי רכב ורכוש,שמאות רכוש/נזקים,רמת השרון,072-3263016,,,,https://www.d.co.il/12121170/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אבגי יעקב,שמאי רכב ורכוש,שמאות רכוש/נזקים,כפר תבור,054-6620870,,,,https://www.d.co.il/80227555/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
שמאים,שמאי רכב ורכוש,שמאות רכוש/נזקים,ירכא,04-9967643,,,,https://www.d.co.il/34450610/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
אומדנים שרותי שמאות,שמאי רכב ורכוש,שמאות רכוש/נזקים,הרצליה,09-9553240,,,,https://www.d.co.il/28630250/49110/,https://www.gov.il/he/departments/dynamiccollectors/automobile-appraisers,2026-07-19,ההתמחות אומתה בפרסום ציבורי; מספר רישיון לא הותאם למאגר משרד התחבורה
