candidate,source_url,source_type,apparent_focus,source_evidence_summary,priority,geo_hint,crm_action,verification_status,missing_before_routing,notes
"עו""ד ראובן צירלסון / משרד צירלסון","https://tsirelson-law.co.il/","firm site","ביטוח לאומי, נכות כללית, נכות מעבודה, סיעוד, ועדות/ערעורים","Site lists ביטוח לאומי services including נכות כללית, שירותים מיוחדים, דמי פגיעה, נכות מעבודה, ילד נכה and appeals/claims language.","high","unknown","Create private prospect; set practice area ביטוח לאומי; target Lead Partner or Featured after fit call","not_verified","bar license; active status; response SLA; payment path; contact permission","Do not publish profile or route leads until verified."
"אבי משען משרד עו""ד","https://mishanadv.co.il/","firm site","נכות כללית, ועדה רפואית, מחלת מקצוע, סיעוד, אובדן כושר עבודה","Source page describes services for נכות כללית, ועדה רפואית, מחלת מקצוע, סיעוד מול ביטוח לאומי, פנסיית נכות and אובדן כושר עבודה.","high","unknown","Create private prospect; verify whether lawyer-led firm and lead acceptance fit","not_verified","bar license; active status; same-day response; payment path","Good match for BTL appeal funnel if lawyer status and response process check out."
"עו""ד אורי דלאל","https://www.work-accidents.co.il/appeal-to-a-medical-committee/","firm article","ערעור ועדה רפואית, נפגעי עבודה, נכות כללית, ועדות ערר","Article is specifically about ערעור על ועדה רפואית בביטוח לאומי and explains 30/60 day appeal windows and risk of reduced percentages.","high","unknown","Create private prospect; mark source URL as appeal article; verify intake fit","not_verified","bar license; active status; BTL appeal volume; response SLA; payment path","Strong content-market signal for appeal-intent users."
"אימבר גולן פרטוש משרד עו""ד","https://embargp-law.co.il/","firm site","נזקי גוף, ביטוח לאומי, נכות כללית, מימוש זכויות רפואיות","Site presents interview content around קצבת נכות כללית and says עו""ד אימבר גולן פרטוש is a specialist in זכויות רפואיות and BTL claims.","high","unknown","Create private prospect; verify lead routing/payment fit","not_verified","bar license; active status; response SLA; payment path","Potential authority/trust angle; verify claims independently."
"אולניק לינוי משרד עורכי דין","https://www.oleniklaw.co.il/","firm site + Mishpati listing","ביטוח לאומי, נכות כללית, נזיקין, ייצוג בבית משפט","Site has multiple BTL/national-disability articles; Mishpati listing shows ביטוח לאומי and נזיקין/תאונות.","high","רעננה per Mishpati listing","Create private prospect; source both firm site and directory listing","not_verified","bar license; active status; response SLA; payment path","Potential local coverage for Sharon/central area."
"עו""ד חלי לוי","https://www.chl-law.co.il/","firm site","נזקי גוף, ביטוח לאומי, ועדות רפואיות, ילד נכה, נכות כללית, שירותים מיוחדים","About section says the office handles claims מול הביטוח הלאומי and representation in medical committees including ילד נכה, נכות כללית and services.","medium","unknown","Create private prospect after license/contact verification","not_verified","bar license; active status; response SLA; payment path","Boutique positioning may fit careful manual pilot."
"משרד עו""ד שי סלומי","https://salumilaw.co.il/","firm site","נזיקין, ביטוח לאומי, דיני עבודה, תאונות עבודה","Source page says the firm handles torts, BTL, labor law and work accidents with local Netanya positioning.","medium","נתניה","Create private prospect; verify whether BTL appeals are core enough","not_verified","bar license; active status; BTL appeal experience; response SLA; payment path","May be useful for Netanya/Hasharon coverage."
"עו""ד אלינור כנפו","https://www.ebk-law.co.il/","firm site","ביטוח לאומי, עררים, ועדות רפואיות, נכות כללית, נכות מעבודה, נפגעי איבה","Source lists BTL claims and appeals, medical-file preparation, medical committees for נכות כללית, נכות מעבודה, ילד נכה and נפגעי איבה.","high","נתניה","Create private prospect; strong candidate for BTL + hostile-act adjacent path","not_verified","bar license; active status; response SLA; payment path","Interesting because source mentions נפגעי איבה as well."
"עו""ד רונן אבניאל","https://www.mishpati.co.il/find-lawyer/social-security?lp=general-disability","directory listing","ביטוח לאומי, משרד הביטחון ונכי צה""ל, נזיקין ותאונות","Mishpati listing says member of the Bar, almost 30 years מול ביטוח לאומי, insurers and Ministry of Defense; includes forum/video/article activity.","high","גבעתיים per listing","Create private prospect; verify from official/firm source before routing","not_verified","bar license active status; direct permission; response SLA; payment path","Directory-sourced; use as lead only, not as public profile source."
"עו""ד יוסף (ספי) קוסטיקה","https://www.mishpati.co.il/find-lawyer/social-security?lp=general-disability","directory listing","ביטוח לאומי, נזיקין, משרד הביטחון ונכי צה""ל, חברות ביטוח","Mishpati listing includes ביטוח לאומי among practice areas and Tel Aviv address.","medium","תל אביב per listing","Create private prospect only after independent source verification","not_verified","bar license; direct source; active status; response SLA; payment path","Directory-sourced candidate."
"גדעון פנר משרד עורכי דין","https://www.mishpati.co.il/find-lawyer/social-security?lp=general-disability","directory listing","ביטוח לאומי, נזיקין, רשלנות רפואית, משרד הביטחון ונכי צה""ל","Mishpati listing includes ביטוח לאומי and describes long-standing Be'er Sheva torts practice.","medium","באר שבע per listing","Create private prospect; verify current team/contact and BTL fit","not_verified","bar license; direct source; active status; response SLA; payment path","Useful for southern coverage if verified."
"קובי שפירא משרד עורכי דין","https://kslaw.biz/social-security/","firm site","ביטוח לאומי, ועדות רפואיות, ועדות ערר, בית הדין לעבודה","Source says the office accompanies BTL medical committees, appeals committees and labor-court proceedings; strong BTL-specific positioning.","high","unknown","Create private prospect; verify claims and fit call","not_verified","bar license; active status; response SLA; payment path","Strong candidate for BTL appeal funnel."
"סמרה ושות' משרד עורכי דין ונוטריון","https://samaratviot.co.il/bituach-leumi/","firm site","תביעות ביטוח לאומי, ועדות רפואיות, דיני המוסד לביטוח לאומי","Source says the office has 25+ years in BTL law and handles the medical-committee environment.","high","unknown","Create private prospect; verify direct contact and lead terms","not_verified","bar license; active status; response SLA; payment path","Potential established specialist firm."
"עו""ד אלעד רייך","https://www.raichlaw.co.il/national-insurance-attorney/national-insurance-institute/","firm article","ערעור ועדה רפואית ביטוח לאומי","Source page is specifically titled around appealing BTL medical committees.","medium","unknown","Create private prospect; verify BTL is active offering","not_verified","bar license; active status; response SLA; payment path","Use as appeal-specific lead after verification."
"ליאור אליטים משרד עורכי דין","https://lior.elytim-law.com/","firm site","נזיקין, ביטוח לאומי, ועדות רפואיות, תאונות דרכים ונזקי גוף","Source describes BTL/medical committees and injury claims positioning.","medium","unknown","Create private prospect; verify law office identity and coverage","not_verified","bar license; active status; response SLA; payment path","Potential smaller/landing-page source, verify carefully."
