goal,revenue_readiness,current_status,why_no_money_yet,next_profitable_step,owner_can_notice
Public homepage conversion,"70% code-ready, 0% live impact","GitHub updated, live site still old","uPress Pull Git not completed","Pull Git in uPress, then verify homepage text and lead paths live","GitHub commit 432c6175; live homepage only after uPress"
Lawyer subscription / paid plans,"65% technical, 0% payment proof","Plan catalog, registration, dashboard and manual invoice paths exist","No controlled lawyer identity, selected payment path or private payment proof","Owner approves one controlled test lawyer identity and manual invoice/payment path",".project-control/lawyer-subscription-controlled-walkthrough-2026-05-27.md"
Manual invoice fallback,"75% operational, 0% paid proof","Checkout/terms/privacy/cancellation paths pass public compliance checks","No approved invoice sent and no payment evidence","Use one controlled lawyer subscription test with invoice-stage follow-up only",".reports/grow-payment-compliance-live-2026-05-27.json"
Grow/Meshulam/Morning payment readiness,"45% compliance, 0% live billing proof","Public compliance markers pass; provider behavior remains outside repo proof","KYC/provider setup/product mapping/payment confirmation are not proven here","Owner completes/validates provider KYC and one small controlled payment proof","Provider dashboard, not repo"
Bituach Leumi first paid lead,"55% process, 0% live proof","Private source-readiness and filled-row review gates exist","No filled specialist rows, no consented lead, no billing/payment proof","Owner/admin fills private BTL evidence rows, then one controlled lead proof review",".project-control/btl-source-readiness-admin-fill-packet-2026-05-27.md"
Lead/CRM flow,"60% technical, 0% monetized","Consent wording and lead proof boundaries exist","No approved live consent workflow and no paid handoff","Approve/edit consent message pack, then run one no-PII import/preflight",".project-control/whatsapp-talkto-consent-message-pack-2026-05-27.md"
Lawyer supplier / specialist coverage,"35% supply, 0% revenue","Criminal Jerusalem exact coverage has 0 matching lawyer cards; other coverage packets are private","No verified matching supplier/lawyer ready for paid routing","Owner/admin verifies one matching lawyer/supplier with billing terms",".project-control/criminal-jerusalem-lawyer-coverage-activation-packet-2026-05-27.md"
Thin local/practice content,"50% private prep, 0% live traffic impact","Tel Aviv family evidence center and route gates exist","GSC/legal/owner evidence is not filled; no CMS update approved","Fill GSC/legal/owner rows before any exact public copy packet",".project-control/tel-aviv-family-evidence-completion-control-center-2026-05-27.md"
Google/public index,"0% new change","No new public pages, sitemap, canonical, noindex or redirects changed","No approved public publication or GSC export-driven update","Decide first approved page/update after evidence and anti-cannibalization review","Search Console and live site after approval"
Low Hype / RV / adjacent ideas,"20% strategic, 0% revenue","Parked as private decision work","Too broad and not closest to cash","Keep parked unless owner approves a narrow inbound-only pilot",".project-control/low-hype-rv-first-pilot-decision-queue-2026-05-27.md"
