id,path,role,expectedGate,status,gate,url,finalUrl,h1,wordEstimate,inspectionNeed
ROUTE-01,/divorce-lawyer-tel-aviv/,target_private_candidate,should remain non-public until approved,404,PASS_TARGET_NOT_PUBLIC_200,https://jus-tice.co.il/divorce-lawyer-tel-aviv/,https://jus-tice.co.il/divorce-lawyer-tel-aviv/,העמוד לא נמצא,290,confirm target is not already public before private drafting continues
ROUTE-02,/divorce-lawyer/,central_divorce_pillar,must remain the main divorce-lawyer page,200,PASS_PILLAR_REACHABLE,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/divorce-lawyer/,"איך לבחור עורך דין גירושין | ניסיון, מחיר ושאלות נכונות | Jus-Tice",4060,protect from local-page duplication and send broad intent here
ROUTE-03,/family-law/,family_law_hub,"associated hub, not a duplicate local divorce page",200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/family-law/,https://jus-tice.co.il/family-law/,דיני משפחה,5824,check whether family-law hub should link to the eventual local page only after approval
ROUTE-04,/child-custody/,specific_family_issue,protect issue-specific intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/child-custody/,https://jus-tice.co.il/child-custody/,משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים,3248,do not absorb custody advice into the Tel Aviv divorce page
ROUTE-05,/child-support-calculator-2023/,calculator_specific_intent,protect calculator intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/child-support-calculator-2023/,https://jus-tice.co.il/child-support-calculator-2023/,מחשבון מזונות ילדים 2023,863,link only if user task genuinely needs child-support calculation context
ROUTE-06,/divorce-mediation/,mediation_specific_intent,protect mediation intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/divorce-mediation/,https://jus-tice.co.il/divorce-mediation/,"גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק",4277,avoid making the Tel Aviv page a mediation guide
ROUTE-07,/what-is-a-divorce-settlement-agreement/,settlement_agreement_article,protect settlement explanation intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/,https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/,הסכם גירושין,1193,can support document checklist only after legal/editor review
ROUTE-08,/free-divorce-agreement-template/,template_article,protect template intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/free-divorce-agreement-template/,https://jus-tice.co.il/free-divorce-agreement-template/,הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם,1791,avoid promising that a template is enough for a local case
ROUTE-09,/how-much-does-a-divorce-agreement-cost/,cost_article,protect price/cost intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/,https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/,כמה עולה הסכם גירושין? | עלות הסכם גירושין,1050,do not copy price claims into a local lawyer page without review
ROUTE-10,/lawyers/?city=tel-aviv&practice=family-law,filtered_lawyer_directory,coverage proof required,200,LIVE_ASSOCIATED_PAGE_REVIEW,https://jus-tice.co.il/lawyers/?city=tel-aviv&practice=family-law,https://jus-tice.co.il/lawyers/?city=tel-aviv&practice=family-law,עורכי דין בתל אביב,756,public draft stays blocked until real filtered lawyer count is verified
