full_name,office_address,city,phone,website,address_source_url,notes
גולדפרב גרוס זליגמן,יגאל אלון 98,תל אביב,03-6089999,https://www.goldfarb.com,https://www.goldfarb.com/he/contact/,official site + directories agree
נשיץ ברנדס אמיר ושות',תובל 5,תל אביב,03-6235000,https://www.nblaw.com,https://www.nblaw.com/,official + wikipedia + dapey zahav
"ארנון, תדמור-לוי","דרך מנחם בגין 132, מרכז עזריאלי",תל אביב,03-6846000,https://arnontl.com,https://arnontl.com/he/contact-us/,official site
שבלת ושות',"ברקוביץ 4, מגדל המוזיאון",תל אביב,03-7778333,https://www.shibolet.com,https://www.shibolet.com/en/contact-us/,official + directories
פירון משרד עורכי דין,"השלושה 2, מגדל אדגר 360",תל אביב,,https://www.firon.co.il,https://www.firon.co.il/branch/tel-aviv/,official; multi-branch firm
ש. הורוביץ,אחד העם 31,תל אביב,03-5670700,,https://he.wikipedia.org/wiki/ש._הורוביץ_ושות',wikipedia + din
אגמון עם טולצ'ינסקי,יגאל אלון 98,תל אביב,03-6078607,https://www.agmon-law.co.il,https://www.agmon-law.co.il/en/contact-us/,official + checkid
הרצוג,"יצחק שדה 6, מגדל הרצוג",תל אביב,03-6922020,https://herzoglaw.co.il,https://herzoglaw.co.il/he/news-and-insights/הוראות-הגעה-הרצוג/,official site
הרצוג פוקס נאמן,"יצחק שדה 6, מגדל הרצוג",תל אביב,03-6922020,https://herzoglaw.co.il,https://herzoglaw.co.il/he/news-and-insights/הוראות-הגעה-הרצוג/,official site
עורכי דין | מיתר,"דרך אבא הלל סילבר 16, מתחם הבורסה",רמת גן,03-6103100,https://meitar.com,https://meitar.com/he/contact/,official + dapey zahav
מיתר | עורכי דין,"דרך אבא הלל סילבר 16, מתחם הבורסה",רמת גן,03-6103100,https://meitar.com,https://meitar.com/he/contact/,official + dapey zahav
GNY גורניצקי,"החרש 20, מגדל ויתניה",תל אביב,03-7109191,https://www.gornitzky.co.il,https://www.gornitzky.co.il/contact/,official site
"עמית, פולק, מטלון ושות'","ראול ולנברג 18, בניין D, רמת החייל",תל אביב,03-5689000,https://www.apm.law,https://www.apm.law/he/,official + dapey zahav
FBC & Co פישר,"דרך מנחם בגין 146, עזריאלי טאון",תל אביב,03-6944111,https://www.fbclawyers.com,https://www.fbclawyers.com/דרכי-הגעה-למשרדי-פישר-fbc-co/,official site wins over stale directory (דניאל פריש 3)
פישר (.FBC & Co),"דרך מנחם בגין 146, עזריאלי טאון",תל אביב,03-6944111,https://www.fbclawyers.com,https://www.fbclawyers.com/דרכי-הגעה-למשרדי-פישר-fbc-co/,official site wins over stale directory (דניאל פריש 3)
"ש. פרידמן, אברמזון ושות'",דרך מנחם בגין 146,תל אביב,03-6931931,,https://www.bdicode.co.il/company/s-friedman-co-advocates/,TODO-VERIFY on firm site (directory-sourced)
"בלטר, גוט, אלוני ושות' - עורכי דין",יגאל אלון 96,תל אביב,03-5111111,https://www.bgalaw.co.il,https://www.bgalaw.co.il/about/,official; branches Jerusalem/Tiberias
ליפא ושות',"ויצמן 2, בית אמות השקעות",תל אביב,03-6070600,,https://www.d.co.il/475140/9010118/,TODO-VERIFY official site (directory-sourced)
"איתן האזרחי ושות', משרד עורכי דין",יוחנן בן זכאי 6,תל אביב,,https://sh-ez.com,https://sh-ez.com/אודות-המשרד/,official; search corrected city TLV
"ארדינסט, בן נתן, טולידאנו EBN",ברקוביץ 4,תל אביב,03-7770111,https://www.ebnlaw.co.il,https://www.ebnlaw.co.il/contact/,official + wikipedia
