query,clicks,impressions,ctr,position
יובל כרמי פסק דין,97,258,0.375968992248062,2.616279069767442
כמה מרוויח עורך דין פלילי,96,520,0.18461538461538463,1.625
סעיף כוח עליון דוגמא,80,270,0.2962962962962963,1.0592592592592593
עורך דין פלילי מחירון,67,1429,0.04688593421973408,2.463960811756473
אחוז הגירושין בישראל 2025,66,1011,0.06528189910979229,3.5252225519287834
הסכם גירושין ללא עורך דין להורדה,65,1871,0.034740780331373594,5.675574559059327
נוטריון ישראלי בניו יורק,63,314,0.20063694267515925,3.6178343949044587
הלכת אלקצאצי,58,313,0.1853035143769968,2.351437699680511
ייעוץ עורך דין אונליין חינם,51,4167,0.012239020878329733,9.24382049436045
חתימה על תצהיר בחינם,48,1171,0.04099060631938514,8.603757472245944
מרבד,43,14618,0.002941578875359146,9.637091257353948
פתיחת חשבון בנק בפורטוגל,42,524,0.08015267175572519,3.2022900763358777
סוגי רופאים,41,977,0.04196519959058342,3.8884339815762536
אביגיל ון קרפלד,39,598,0.06521739130434782,5.687290969899665
איפה הכי זול לקנות דירה בעולם,39,280,0.1392857142857143,2.5428571428571427
הצהרת אבהות ברבנות,39,106,0.36792452830188677,1.5849056603773586
יובל כרמי גזר דין,39,487,0.08008213552361396,4.905544147843942
רשות ניירות ערך בעלי תפקידים,39,264,0.14772727272727273,4.613636363636363
עורך דין פלילי שכר,37,990,0.03737373737373737,1.7626262626262625
תעודת יושר pdf,37,1266,0.029225908372827805,6.466824644549763
חיפוש עורך דין לפי שם,36,5787,0.006220839813374806,7.830827717297391
כתיבה משפטית,35,651,0.053763440860215055,4.356374807987711
איתן בייקר עורך דין,34,352,0.09659090909090909,5.9602272727272725
אזרחות מלטה,33,170,0.19411764705882353,2.8941176470588235
יובל כרמי,33,2506,0.013168395849960097,10.279728651237031
ערר על החלטת קצין משטרה,31,326,0.0950920245398773,4.5552147239263805
כמה עולה עורך דין פלילי,30,656,0.04573170731707317,2.0503048780487805
הסכם גירושין דוגמא doc,29,1199,0.02418682235195997,6.052543786488741
חוזה שכירות סטנדרטי 2025,29,494,0.058704453441295545,10.32995951417004
אביים ברקאי,28,2661,0.010522360015031942,4.702367531003382
הילה גורביץ עובדיה,28,397,0.07052896725440806,5.073047858942066
ענת הלר כריש,28,512,0.0546875,5.642578125
שלי פרקש,26,356,0.07303370786516854,3.601123595505618
תצהיר דוגמא,25,1475,0.01694915254237288,7.707796610169492
עורך דין,23,7200,0.0031944444444444446,40.83222222222222
