שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
אליאס מכון פוליגרף,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,072-2565138,,,,https://www.d.co.il/80391723/11330/,,2026-07-19,ההתמחות המשפטית מופיעה בפרסום הציבורי
גבעון דניאלה - גרפולוגית מוסמכת,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,חיפה,072-3213013,,,,https://www.d.co.il/17667320/11330/,,2026-07-19,ההתמחות המשפטית מופיעה בפרסום הציבורי
אריאלי-גרפולוגית משפטית,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,תל אביב,072-3225056,,,,https://www.d.co.il/4676390/11330/,,2026-07-19,ההתמחות המשפטית מופיעה בפרסום הציבורי
מירי לוי - גרפולוגית משפטית,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,רמות יצחק נשר,072-3220916,,,,https://www.d.co.il/80263028/11330/,,2026-07-19,ההתמחות המשפטית מופיעה בפרסום הציבורי
צוות חקירות -חוקר פרטי,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,072-2565126,,,,https://www.d.co.il/80354282/17200/,,2026-07-19,ההתמחות המשפטית מופיעה בפרסום הציבורי
פוליגרף הגעה עד בית הלקוח עסק,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,072-3270903,,,,https://www.d.co.il/80006550/17200/,,2026-07-19,ההתמחות המשפטית מופיעה בפרסום הציבורי
שלף אורית - גרפולוגית משפטית מוסמכת,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,תמרת,072-3294712,,,,https://www.d.co.il/80234028/11330/,,2026-07-19,ההתמחות המשפטית מופיעה בפרסום הציבורי
שלף & גוטמן – גרפולוגיה משפטית,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://graforensic.co.il/%D7%A2%D7%93-%D7%9E%D7%95%D7%9E%D7%97%D7%94/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
אלישבע סגל,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://elishevasegal.co.il/articles/%D7%90%D7%99%D7%9E%D7%95%D7%AA-%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%91%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
שרם – גרפולוגיה משפטית,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://shrem-graphologylaw.com/%D7%92%D7%A8%D7%A4%D7%95%D7%9C%D7%95%D7%92-%D7%96%D7%99%D7%95%D7%A3-%D7%97%D7%AA%D7%99%D7%9E%D7%94/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
חנה קורן – מכון לגרפולוגיה,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://www.annakoren.co.il/graphologist/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
בר עמית,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://graphologist.org.il/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
דבורה הראל,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://harell-graphology.co.il/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
מיכל דורון,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://www.b144.co.il/%D7%92%D7%A8%D7%A4%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%94/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
מירי לוי,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://www.b144.co.il/%D7%92%D7%A8%D7%A4%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%94/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
מלי קדוש – חוכמת הכתב,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://www.graphologylegal.co.il/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
Grapho-Law,גרפולוגים משפטיים,בדיקת מסמכים/חתימות וחוות דעת,,,,,,https://www.grapho-law.co.il/%D7%92%D7%A8%D7%A4%D7%95%D7%9C%D7%95%D7%92-%D7%9E%D7%95%D7%9E%D7%97%D7%94/,,2026-07-19,אתר/אינדקס ציבורי מציג שירות משפטי; לא נמצא פנקס רישוי ממשלתי ייעודי
