"decision_id","area","current_url","current_status","evidence","recommended_action","owner_approval_question","approval_status","blocked_actions","notes"
"CHILD-SUPPORT-PRIMARY-001","child-support-primary","https://jus-tice.co.il/child-support/","Published exact clean URL; 2767 words; quality heuristic 8/10","slug-conflict-review shows 30 conflict rows; GSC visible demand did not map to this page","COMPARE_AS_PRIMARY_CANDIDATE_NO_URL_CHANGE","Should /child-support/ be compared as the near-term primary guide while keeping existing URLs protected?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap or CMS edit until approved","Likely guide candidate but not yet proven as GSC primary."
"CHILD-SUPPORT-CALCULATOR-001","protected-calculator-url","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","Old calculator URL with visible GSC impressions","GSC browser evidence maps מזונות ילדים 160 impressions חישוב מזונות 131 impressions and מחשבון מזונות 70 impressions to this URL","PROTECT_DO_NOT_TOUCH_HIGH_TRAFFIC_URL","Approve protecting the calculator URL while reviewing whether it stays as support/tool content?","OWNER_APPROVAL_REQUIRED","No redirect noindex deletion overwrite or formula expansion until approved","This is a traffic-risk URL and should not be handled as a weak duplicate."
"CHILD-SUPPORT-CALCULATION-INTENT-001","calculation-intent","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","Calculation intent currently maps to calculator URL","Queries חישוב מזונות and מחשבון מזונות have visible impressions on the old calculator URL","REVIEW_AS_SUPPORT_OR_TOOL_NOT_PRIMARY","Should calculation intent become a support section/tool plan rather than a competing primary page?","OWNER_APPROVAL_REQUIRED","Do not create thin calculation page or new calculator claims yet","Needs legal/source review before public tool framing."
"CHILD-SUPPORT-919-001","case-law-support","https://jus-tice.co.il/psakdin/בע״ם-919-15-הלכת-המזונות-החדשה/","Large case-law asset; 39818 words","Exact checked filters for בעמ 919/15 and בעמ 919/15 variants returned no visible rows","KEEP_SEPARATE_SOURCE_SUPPORT","Approve keeping this case-law page separate and using only reviewed summaries as support?","OWNER_APPROVAL_REQUIRED","No merge redirect or public legal conclusion reuse until legal review","Long source asset should not become the public guide."
"CHILD-SUPPORT-CHANGE-001","change-reduction-shared-support","MULTIPLE_EXISTING_URLS","Existing old pages and possible sections for shared support reduction and change of circumstances","Checked GSC variants for מזונות משותפת הפחתת מזונות שינוי מזונות and הלכת המזונות החדשה returned no visible rows","USE_AS_SECTIONS_FIRST_REVIEW_LATER","Approve treating zero-row variants as guide sections before standalone pages?","OWNER_APPROVAL_REQUIRED","Do not create new thin support pages yet","Could become support pages later if GSC/source evidence supports it."
"CHILD-SUPPORT-RABBINICAL-001","rabbinical-jurisdiction-support","https://jus-tice.co.il/5988-21/","Existing jurisdiction/case content","URL map includes rabbinical jurisdiction candidates connected to child-support conflict group","REVIEW_AS_SUPPORT_AFTER_LEGAL_CHECK","Approve reviewing rabbinical-court jurisdiction as a support path only after legal review?","OWNER_APPROVAL_REQUIRED","No merge redirect noindex or canonical changes yet","Jurisdiction wording is legally sensitive."
"CHILD-SUPPORT-SOURCE-LEGAL-001","source-legal-review","PROJECT_CONTROL_SOURCE_AUDIT","Source audit exists with verify/lawyer-review flags","child-support-source-audit.csv marks claims as VERIFY_BEFORE_PUBLICATION LAWYER_REVIEW_REQUIRED or NOT_VERIFIED","LEGAL_REVIEW_BEFORE_PUBLIC_EDITS","Approve requiring source/legal checklist before any child-support public edit?","OWNER_APPROVAL_REQUIRED","No formula age-band medor expense or jurisdiction claims without review","This is the main quality gate before editing."
"CHILD-SUPPORT-INTERNAL-LINKS-001","internal-links","https://jus-tice.co.il/child-support/","Internal-link plan not final","Guide already links into family law; calculator and case-law URLs need planned support-to-pillar links","PREPARE_INTERNAL_LINK_PLAN_AFTER_PRIMARY_CONFIRMATION","Approve preparing child-support internal-link map after primary selection?","OWNER_APPROVAL_REQUIRED","Do not change menus breadcrumbs related articles or body links yet","Links should connect guide calculator case-law custody divorce and family lawyer pages."
"CHILD-SUPPORT-LAWYER-CARDS-001","lawyer-profile-connection","https://jus-tice.co.il/lawyers/advocate-maya-rotenberg/","Real family-law lawyer profile exists in inventory","Maya Rotenberg profile exists; review/reputation/disclosure data not fully approved","CONNECT_ONLY_AFTER_PROFILE_VERIFICATION","Approve lawyer cards only after real profile disclosure review and no fake ratings?","OWNER_APPROVAL_REQUIRED","No fake badges ratings reviews or lawyer cards in public content","Useful for conversion but must be real and compliant."
"CHILD-SUPPORT-MIGRATION-001","url-migration-sitemap-redirect","ALL_CHILD_SUPPORT_CONFLICT_URLS","30 conflict rows require mapping","URL migration map marks changes only after approval; old calculator URL has GSC signal","NO_REDIRECT_OR_SITEMAP_CHANGE_NOW","Approve keeping all URL migration actions blocked until a full redirect canonical sitemap and internal-link map exists?","OWNER_APPROVAL_REQUIRED","No redirect canonical sitemap noindex slug change deletion or CMS edit","Google should see no migration until the map is complete."
