decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
CYBER-CURRENT-PILLAR-001,cyber-current-service,https://jus-tice.co.il/cyber-lawyer/,"Published current candidate; 6405 words; quality 8/10; has internal links","Title already targets עורך דין סייבר and privacy; exact strategic /cyber-privacy-lawyer/ not verified current","COMPARE_AS_CURRENT_PRIMARY_NO_URL_CHANGE","Should /cyber-lawyer/ remain the current cyber service primary unless owner approves a later migration?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap related-card or CMS edit","Strongest current service candidate from inventory."
CYBER-STRATEGIC-SLUG-001,strategic-clean-slug,https://jus-tice.co.il/cyber-privacy-lawyer/,"Strategic future target only; no exact current public URL verified","cluster-pillar-review lists cyber-privacy-lawyer; current heuristic chose /fbi-cyber-division/ by word count only","MIGRATION_MAP_REQUIRED","Should /cyber-privacy-lawyer/ be future target only after GSC/SERP and redirect map approval?","OWNER_APPROVAL_REQUIRED","No creation migration redirect canonical sitemap noindex or CMS edit","Do not create duplicate live page."
CYBER-FBI-ARTICLE-001,fbi-cyber-support,https://jus-tice.co.il/fbi-cyber-division/,"Published long FBI/international-security article; 21917 words; quality 6/10; no internal links","Heuristic selected this by word count, but intent is not local service primary","PROTECT_SUPPORT_NOT_PRIMARY_BY_DEFAULT","Should FBI cyber content be support/international context instead of pillar?","OWNER_APPROVAL_REQUIRED","No pillar assignment rewrite redirect title meta canonical sitemap or CMS edit","Word count does not make it the approved pillar."
CYBER-LAWS-001,cyber-law-guide,https://jus-tice.co.il/cyber-laws/,"Published informational guide; 13956 words; quality 8/10; has internal links","May be informational support or separate guide; direct GSC evidence not verified","SUPPORT_OR_INFORMATIONAL_GUIDE_REVIEW","Should /cyber-laws/ support /cyber-lawyer/ or remain a separate guide?","OWNER_APPROVAL_REQUIRED","No merge redirect internal-link batch title meta canonical sitemap or CMS edit","Avoid cannibalizing service intent."
CYBERCRIME-ROLE-001,cybercrime-specialist,https://jus-tice.co.il/cybercrime-lawyer-roll/,"Published specialist support candidate; 4455 words; quality 6/10; no internal links","Cybercrime lawyer role may support cyber service or criminal-law boundary","SUPPORT_BOUNDARY_REVIEW","Should cybercrime lawyer role support cyber-lawyer, criminal-lawyer, or both?","OWNER_APPROVAL_REQUIRED","No rewrite redirect related-card internal-link batch canonical sitemap or CMS edit","Needs criminal/cyber boundary review."
CYBERATTACK-GUIDE-001,cyberattack-explainer,https://jus-tice.co.il/what-is-cyberattack/,"Published explainer; 3744 words; quality 6/10; no internal links","Informational technical/legal support candidate; direct GSC not verified","SUPPORT_GUIDE_REVIEW","Should this be an informational support guide under cyber-lawyer?","OWNER_APPROVAL_REQUIRED","No title meta rewrite redirect internal-link batch canonical sitemap or CMS edit","Needs SERP/GSC intent check."
CYBER-INSURANCE-001,cyber-insurance-support,https://jus-tice.co.il/cyber-insurance/,"Published cyber insurance guide; 2832 words; quality 6/10; no internal links","Business/insurance intent may differ from legal-service intent","BUSINESS_INSURANCE_SUPPORT_REVIEW","Should cyber insurance sit under cyber/privacy or a business-risk support lane?","OWNER_APPROVAL_REQUIRED","No rewrite merge redirect canonical sitemap or CMS edit","Avoid mixing insurance product intent with lawyer intent."
CYBERSEX-TRAFFICKING-001,cyber-criminal-boundary,https://jus-tice.co.il/cybersex-trafficking/,"Published cybersex/internet sex offense page; 2819 words; quality 8/10; has internal links","Could support both cyber and criminal clusters","CRIMINAL_CYBER_BOUNDARY_REVIEW","Should this connect to cyber-lawyer, criminal-lawyer, or both after legal review?","OWNER_APPROVAL_REQUIRED","No related-card internal-link redirect title meta canonical sitemap or CMS edit","Sensitive criminal/cyber boundary topic."
PRIVACY-OVERVIEW-001,privacy-support,https://jus-tice.co.il/articles/פגיעה-בפרטיות-סקירת-המסגרת-הנורמטיבי/,"Published privacy overview; 763 words; quality 4/10; thin; no internal links","content-quality-audit recommends EXPAND","EXPAND_PRIVACY_SUPPORT_AFTER_SOURCE_REVIEW","Should this become privacy support after source/legal review?","OWNER_APPROVAL_REQUIRED","No rewrite migration redirect title meta canonical sitemap or CMS edit","Potential privacy support page but thin."
DATA-DELETION-001,police-records-data-deletion,https://jus-tice.co.il/police-records-data-deletion/,"Published thin/outdated page; 530 words; quality 2/10; no internal links","Currently needs classification; could be criminal records or privacy/data deletion","CLASSIFY_BOUNDARY_REVIEW","Should this remain criminal-law support or connect to privacy/data deletion?","OWNER_APPROVAL_REQUIRED","No rewrite redirect related-card internal-link batch canonical sitemap or CMS edit","Do not pull into cyber/privacy blindly."
