tier,id,type,url,title_db,yoast_title_override,meta_description,practice_area,word_count_est,created,last_modified,impressions_90d,clicks_90d,avg_position
1-real-traffic,12857,articles,https://jus-tice.co.il/posta/,פוסטה פלילים,פוסטה פשע ופלילים: העדכונים והכתבות | Jus-Tice,,משפט פלילי,16636,2025-08-31,2026-07-06,13086,37,6.2
1-real-traffic,12609,articles,https://jus-tice.co.il/israel-real-estate-price-forecast/,"מחירים עדכניים (2025) ותחזית לשוק הנדל""ן | רכישת נדל""ן בישראל בלווי עורך דין",,,"מקרקעין | נדל""ן",32880,2025-07-06,2026-05-17,8046,15,12.9
1-real-traffic,6005,articles,https://jus-tice.co.il/child-support-alimony-updated-guidelines-2023/,תחנות משטרה כתובת טלפון רשימה ארצית מעודכן 2023,,,משפט פלילי,13354,2021-08-15,2026-05-22,7360,29,13.9
1-real-traffic,12897,articles,https://jus-tice.co.il/the-recommended-family-lawyers/,מומלצי דיני משפחה וגירושין: המלצות עורכי דין לענייני משפחה בישראל (2025),,,דיני משפחה,74089,2025-09-10,2026-07-06,6818,15,62.7
1-real-traffic,3130,articles,https://jus-tice.co.il/free-divorce-agreement-template/,הסכם גירושין 2026: דוגמה מלאה להורדה ומה חייב להופיע,,"מטרתו של הסכם גירושין היא להסדיר בהסכמה את הסוגיות המשפטיות בין הצדדים. הסכם גירושין לדוגמאכולל את סידור הגט, משמורת הילדים, מזונות וחלוקת הרכוש המשותף.",דיני משפחה,6549,2021-03-31,2026-07-12,6440,7,19.4
1-real-traffic,3095,articles,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,טופס בקשה לתעודת מידע פלילי | תעודת יושר | היעדר מרשם פלילי,,,משפט פלילי,2677,2021-03-25,2026-05-18,6383,23,16.7
1-real-traffic,12013,articles,https://jus-tice.co.il/guide-israeli-apartment-2025/,מדריך 2025: איפה הכי משתלם למשקיע הישראלי לקנות דירה בעולם?,,,"מקרקעין | נדל""ן",26324,2025-02-23,2026-05-17,6375,20,28.2
1-real-traffic,12600,articles,https://jus-tice.co.il/greece-price-list/,"מחירי נדל""ן ביוון לפי אזורים: טבלת מחירים 2025 לרוכשים מישראל",,,"מקרקעין | נדל""ן",21568,2025-07-06,2026-07-07,5800,51,13.4
1-real-traffic,12464,articles,https://jus-tice.co.il/lahav-433/,להב 433: מבנה היחידה כתובות וטלפונים | משטרת ישראל להב 433,,,משפט פלילי,32846,2025-05-12,2026-07-02,5615,88,8.3
1-real-traffic,12583,articles,https://jus-tice.co.il/portugal-relocation/,רילוקיישן לפורטוגל 2025: המדריך המקיף למעבר לפורטוגל,,,פורטוגל,64909,2025-05-31,2026-05-17,4331,25,10.6
1-real-traffic,10759,articles,https://jus-tice.co.il/about-cyprus/,קפריסין | דסק קפריסין,,,,17053,2024-02-11,2026-05-16,4023,7,9.3
1-real-traffic,6913,articles,https://jus-tice.co.il/court-judge/,מיהו שופט? סוגי שופטים | מהו תפקידו של שופט בית משפט,,,משרד המשפטים,13909,2022-03-17,2026-05-16,3995,50,15.5
1-real-traffic,12433,articles,https://jus-tice.co.il/porto-portugal-real-estate/,"פורטו, פורטוגל - השקעות נדל""ן עבור ישראלים",,,פורטוגל,47517,2025-04-18,2026-07-02,3975,9,26.8
