decision_id,cluster,query_or_topic,gsc_signal,current_url,proposed_or_candidate_url,classification,decision,recommended_next_action,approval_status,blocked_actions,notes
TCWP-001,traffic-law,עורך דין נהיגה בשכרות,"7 impressions, 0 clicks, wrong page match",https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/,https://jus-tice.co.il/driving-under-the-influence/,WRONG_PAGE_MATCH,PROTECT_CURRENT_WILL_PAGE_AND_REVIEW_TRAFFIC_SUPPORT,"Audit why will-revocation matched the query; review drunk-driving support page before any rewrite",BLOCKED_NEEDS_OWNER_REVIEW,"No title/H1/meta rewrite, no redirect, no canonical, no noindex, no sitemap change","Do not optimize the will page for traffic law."
TCWP-002,traffic-law,נהיגה בשכרות,existing support page is thin,https://jus-tice.co.il/driving-under-the-influence/,https://jus-tice.co.il/drunk-driving/,SUPPORT_PAGE_REVIEW,REVIEW_BEFORE_MIGRATION,"Compare keep-current-url vs clean-slug migration; draft no-URL-change outline first",BLOCKED_NEEDS_SOURCE_AND_OWNER_REVIEW,"No duplicate article, no slug migration, no redirect","Current URL exists; future clean slug requires full migration map."
TCWP-003,traffic-law,עורך דין תעבורה,current clean pillar exists,https://jus-tice.co.il/traffic-lawyer/,https://jus-tice.co.il/traffic-lawyer/,PILLAR_CANDIDATE,KEEP_AS_PLANNING_PRIMARY,"Review content depth, lawyer cards, CTAs, related articles and mobile layout together",PLANNED_REVIEW_ONLY,"No sitemap/menu/internal-link expansion until support roles approved","No-URL-change candidate."
TCWP-004,traffic-law,בדיקת ינשוף / breathalyzer,existing thin support page,https://jus-tice.co.il/yanshuf-breathalyzer-test/,https://jus-tice.co.il/yanshuf-breathalyzer-test/,SUPPORT_PAGE_REVIEW,REVIEW_AND_LINK_AFTER_APPROVAL,"Review as drunk-driving support page after traffic pillar role is approved",BLOCKED_NEEDS_OWNER_REVIEW,"No content rewrite, no internal-link batch","Should support drunk-driving only after cluster roles are approved."
TCWP-005,traffic-law,פסילה מנהלית / שלילת רישיון נהיגה,no visible rows in targeted GSC pass,,https://jus-tice.co.il/license-suspension/,FUTURE_SUPPORT_CANDIDATE,HOLD_FOR_MORE_EVIDENCE,"Run source/SERP review and separate driver-license from professional-license intent",BLOCKED_NEEDS_MORE_EVIDENCE,"No new page, no sitemap, no internal link","Driver-license and professional-license meanings can split."
TCWP-006,criminal-law,כתב אישום,"4 impressions, mostly specific Netanyahu page and homepage",specific Netanyahu indictment page,https://jus-tice.co.il/indictment/,SUPPORT_PAGE_SELECTION,DO_NOT_USE_CASE_PAGE_AS_GENERAL_PRIMARY,"Compare existing indictment-cancellation article before choosing support primary",BLOCKED_NEEDS_SOURCE_AND_OWNER_REVIEW,"No redirect, no title/H1/meta, no sitemap","Specific case-law page is not the general guide."
TCWP-007,criminal-law,עורך דין פלילי / דין פלילי,old Hebrew criminal-lawyer page has visible GSC value,old Hebrew criminal-lawyer URL,https://jus-tice.co.il/criminal-lawyer/,PILLAR_MIGRATION_RISK,PROTECT_OLD_GSC_VISIBLE_URL,"Compare old Hebrew page, existing clean candidates and future target before migration",BLOCKED_NEEDS_OWNER_REVIEW,"No slug migration, no redirect, no noindex, no canonical","High-risk broad criminal-law cluster."
TCWP-008,criminal-law,עורך דין עבירות סמים,no visible exact-lawyer row; existing long support asset exists,https://jus-tice.co.il/drug-offenses-criminal-lawyer/,https://jus-tice.co.il/drug-offenses/,SUPPORT_MIGRATION_REVIEW,REVIEW_EXISTING_ASSET_FIRST,"Do not create duplicate; decide keep or migrate after source/content review",BLOCKED_NEEDS_OWNER_REVIEW,"No duplicate page, no redirect, no canonical","Existing support asset may already satisfy intent."
TCWP-009,criminal-law,חקירה במשטרה / זכויות חשוד,no visible rows in latest targeted pass,old police-investigation prep page,https://jus-tice.co.il/police-investigation/,STRATEGIC_SUPPORT_BACKLOG,HOLD_FOR_SOURCE_CONTENT_REVIEW,"Review existing old article and legal source requirements before selecting URL",BLOCKED_NEEDS_MORE_EVIDENCE,"No new URL, no rewrite, no sitemap","Important support intent but not GSC-verified in this pass."
TCWP-010,criminal-law,מעצר ימים,no visible rows in latest targeted pass,old arrest/detention pages,https://jus-tice.co.il/pretrial-detention/,SLUG_CONFLICT_REVIEW,HOLD_FOR_PRIMARY_SELECTION,"Select one detention primary after old-page comparison",BLOCKED_NEEDS_MORE_EVIDENCE,"No redirect, no noindex, no canonical","Pretrial-detention conflict remains unresolved."
TCWP-011,criminal-law,סגירת תיק פלילי,no visible rows in latest targeted pass,,https://jus-tice.co.il/closing-criminal-case/,FUTURE_SUPPORT_CANDIDATE,HOLD_FOR_MORE_EVIDENCE,"Keep in support backlog until SERP/GSC/source review",BLOCKED_NEEDS_MORE_EVIDENCE,"No new page, no sitemap","Useful topic but not ready for execution."
TCWP-012,cross-cluster,wrong-page remediation system,multiple clusters show weak/wrong ownership,multiple,multiple,PROCESS_DECISION,MAP_FIRST_DECIDE_SECOND_EXECUTE_LATER,"Use GSC + inventory + SERP + content quality before any visible change",REVIEW_ONLY,"No public execution from this packet","This packet is a control layer, not an implementation batch."
