"target_slug","topic_cluster","expected_role","conflict_count","exact_clean_url_found","proposed_primary_url_for_review","gsc_keywords_checked","gsc_primary_urls_found","gsc_impressions_summary","gsc_problem_type","gsc_recommended_action","gsc_traffic_risk","serp_status","decision_readiness","recommended_next_step","status","notes"
"criminal-lawyer","criminal-law","pillar","13","NO","https://jus-tice.co.il/criminal-lawyer/","עורך דין פלילי|דין פלילי","https://jus-tice.co.il/משרד-עורכי-דין-פלילי-הכי-טוב-תל-אביב/","עורך דין פלילי: 267 impressions on old Hebrew URL; דין פלילי: old Hebrew criminal URL dominates visible rows","WEAK_PRIMARY_PAGE;CANNIBALIZATION_RISK","MAKE_PILLAR;MERGE;ADD_INTERNAL_LINKS;REDIRECT_LATER","MEDIUM","PARTIAL_SERP_RESEARCH_EXISTS","GSC_EVIDENCE_EXISTS_URL_DECISION_BLOCKED","Choose whether to create/strengthen /criminal-lawyer/ as pillar, compare old Hebrew criminal-law URLs, map supporting pages, then prepare redirect plan for owner approval only.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED from existing GSC_BROWSER_VERIFIED CSVs; NOT VERIFIED fresh GSC in this pass."
"divorce-lawyer","family-law-divorce","pillar","7","YES","https://jus-tice.co.il/divorce-lawyer/","עורך דין גירושין","https://jus-tice.co.il/עוד-גירושין-מומלץ-כיצד-למצוא-עורך-דין-גירושין-וכמה-עולה-להתגרש/","960 impressions on old Hebrew divorce URL; clean /divorce-lawyer/ exists but is not automatically approved","URL_MIGRATION_RISK","DO_NOT_TOUCH_HIGH_TRAFFIC_URL;MAKE_PILLAR;MERGE;REDIRECT_LATER","HIGH","PARTIAL_SERP_RESEARCH_EXISTS","HIGH_RISK_GSC_EVIDENCE_EXISTS","Keep /divorce-lawyer/ as candidate, compare old Hebrew page content, merge only stronger material, and require 301/internal-link/canonical/sitemap plan before any URL change.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED high-risk old URL signal; owner approval required before any migration."
"child-support","family-law-divorce","supporting_article","30","YES","https://jus-tice.co.il/child-support/","NOT VERIFIED for מזונות ילדים variants in current overlay","NOT VERIFIED","No target GSC query pass found yet in current mapped CSVs; inventory shows one exact /child-support/ plus many competing support/case rows","NOT_VERIFIED","KEEP_EXACT_URL_AS_PRIMARY_REVIEW_MERGE_DUPLICATES;RUN_GSC_QUERY_PASS","UNKNOWN","SOURCE_AUDIT_EXISTS","CONTENT_CONFLICT_READY_GSC_BLOCKED","Run GSC filters for מזונות ילדים, חישוב מזונות, בעמ 919/15, מזונות משותפת; then decide merge/support/redirect-later paths.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED inventory conflict count; NOT VERIFIED traffic risk."
"medical-malpractice-lawyer","medical-malpractice","pillar","27","YES_DUPLICATE","https://jus-tice.co.il/medical-malpractice-lawyer/","עורך דין רשלנות רפואית|שכר טרחה עורך דין רשלנות רפואית","https://jus-tice.co.il/articles/שכר-טרחה-עורך-דין-רשלנות-רפואית/","1.34K impressions for broad malpractice-lawyer query on fee article; exact /medical-malpractice-lawyer/ has duplicate slug rows in inventory","WEAK_PRIMARY_PAGE;EXACT_SLUG_DUPLICATE_REVIEW","MAKE_PILLAR;EXPAND_CONTENT;ADD_INTERNAL_LINKS;NEEDS_EXPORT_REVIEW","HIGH","PARTIAL_SERP_RESEARCH_EXISTS","HIGH_RISK_GSC_EVIDENCE_EXISTS","Resolve exact duplicate /medical-malpractice-lawyer/ records, decide pillar vs fee-support page, protect fee article traffic, and prepare internal-link/redirect plan later.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED GSC and inventory risk; no public URL/content changes."
"real-estate-lawyer","real-estate","pillar","0","NO","https://jus-tice.co.il/real-estate-lawyer/","עורך דין מקרקעין|עורך דין מקרקעין ייעוץ חינם","https://jus-tice.co.il/|https://jus-tice.co.il/real-estate-lawyer-cost-2025/","153 impressions in query map for עורך דין מקרקעין; 135 impressions for free-consultation variant on homepage; cost article also holds real-estate intent","WEAK_PRIMARY_PAGE","MAKE_PILLAR;ADD_INTERNAL_LINKS;UPDATE_TITLE;EXPAND_CONTENT","MEDIUM","PARTIAL_SERP_RESEARCH_EXISTS","STRATEGIC_PILLAR_MISSING_GSC_EVIDENCE_EXISTS","Decide whether to create/update /real-estate-lawyer/ as pillar, keep cost article as support, and map buying-apartment/purchase-agreement support pages.","REVIEW_ONLY_NO_URL_CHANGE","Cluster review says strategic clean target not found in public URL map."
"child-custody","family-law-divorce","supporting_article","12","YES","https://jus-tice.co.il/child-custody/","משמורת בלעדית לאם","https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/","109 impressions, average position 9.6, old case-oriented page currently captures a custody sub-intent","POSITION_5_20;SUPPORTING_PAGE_RISK","KEEP_EXACT_URL_AS_PRIMARY_REVIEW_MERGE_DUPLICATES;ADD_INTERNAL_LINKS","MEDIUM","SOURCE_AUDIT_EXISTS","PARTIAL_GSC_EVIDENCE_EXISTS","Use /child-custody/ as candidate guide, link/merge useful case content carefully, and run broader משמורת ילדים GSC pass before redirect decisions.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED partial GSC; broad custody keyword still NOT VERIFIED."
"divorce-mediation","family-law-divorce","supporting_article","3","YES","https://jus-tice.co.il/divorce-mediation/","גישור גירושין","https://jus-tice.co.il/wp-content/uploads/2021/03/נוסח-הסכם-גירושין-דוגמא-2021.docx|https://jus-tice.co.il/divorce-mediation-cons-pros/","109 impressions total visible row set; 86 impressions on DOCX; clean /divorce-mediation/ exists as candidate","NEEDS_PILLAR","MAKE_PILLAR;MERGE;ADD_INTERNAL_LINKS","MEDIUM","PARTIAL_SERP_RESEARCH_EXISTS","GSC_EVIDENCE_EXISTS_URL_DECISION_BLOCKED","Strengthen /divorce-mediation/ as support page only after reviewing DOCX/legacy article value and mapping document URL handling.","REVIEW_ONLY_NO_URL_CHANGE","Do not delete or move DOCX before owner review."
"traffic-lawyer","traffic-law","pillar","3","YES","https://jus-tice.co.il/traffic-lawyer/","עורך דין תעבורה|עורך דין תעבורה ייעוץ חינם","https://jus-tice.co.il/|https://jus-tice.co.il/פסק-דין-תעבורה-עין-הנץ-קבילות-וחוקיות-ראיות-שהונפקו-מהמערכת/","Low visible traffic; homepage appears for traffic-lawyer intent, one old judgment appears for traffic query","WEAK_PRIMARY_PAGE","MAKE_PILLAR;ADD_INTERNAL_LINKS;UPDATE_TITLE","LOW","NOT_VERIFIED_SERP_IN_THIS_PASS","LOW_SAMPLE_GSC_EVIDENCE_EXISTS","Confirm /traffic-lawyer/ as pillar candidate, then map drunk-driving/license-suspension support pages after broader traffic GSC variants.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED low-sample GSC rows only; no migration action."
"personal-injury-lawyer","personal-injury","pillar","0","NO","https://jus-tice.co.il/personal-injury-lawyer/","עורך דין נזיקין","https://jus-tice.co.il/תחומי-התמחות/עוד-נזיקין-פסקי-דין/","2 impressions only; old taxonomy-style page captures the visible row","WEAK_PRIMARY_PAGE","MAKE_PILLAR;ADD_INTERNAL_LINKS","LOW","NOT_VERIFIED_SERP_IN_THIS_PASS","STRATEGIC_PILLAR_MISSING_LOW_SAMPLE","Create/strengthen only after checking broader נזיקין, תאונת דרכים, תאונת עבודה, ביטוח לאומי variants and existing personal-injury content overlap.","REVIEW_ONLY_NO_URL_CHANGE","Low sample; do not over-prioritize from this query alone."
"employment-lawyer","employment-law","pillar","0","NO","https://jus-tice.co.il/employment-lawyer/","NOT VERIFIED in current mapped GSC pass","NOT VERIFIED","No employment-lawyer query/page overlay row found in current GSC_BROWSER_VERIFIED files","NOT_VERIFIED","RUN_GSC_QUERY_PASS;CONFIRM_PRIMARY_WITH_SERP_OWNER_REVIEW","UNKNOWN","NOT_VERIFIED_SERP_IN_THIS_PASS","STRATEGIC_PILLAR_MISSING_GSC_BLOCKED","Run GSC filters for עורך דין דיני עבודה, דיני עבודה, פיטורים, זכויות עובדים; then choose pillar and support pages.","REVIEW_ONLY_NO_URL_CHANGE","Cluster review says current heuristic URL is not a strategic employment pillar."
