queue_id,current_or_planned_url,role,priority,outline_type,proposed_status,next_required_check,required_sources,legal_review_required,owner_approval_required,url_change_allowed,public_execution_allowed,notes
PIRO-001,https://jus-tice.co.il/tort-lawyer/,current_primary_candidate,CRITICAL,primary_service_refresh_outline,OUTLINE_ONLY_BLOCKED,Owner approves current primary role and legal/source checklist,"Torts Ordinance; public legal sources; road-accident and Bituach Leumi boundary sources where relevant",YES,YES,NO,NO,"Use current URL only; no /personal-injury-lawyer/ migration yet"
PIRO-002,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,current_car_accident_candidate,CRITICAL,protected_car_accident_refresh_outline,OUTLINE_ONLY_BLOCKED,Owner approves in-place review before migration,"Road Accident Victims Compensation Law; police accident confirmation; compulsory insurance sources",YES,YES,NO,NO,"Protect current GSC-visible URL; do not migrate to /car-accident-lawyer/ yet"
PIRO-003,https://jus-tice.co.il/israel-road-accident-compensation-law/,road_accident_legal_support,HIGH,source_backed_support_outline,OUTLINE_ONLY_BLOCKED,Confirm current legal/source wording,"Road Accident Victims Compensation Law; public process sources",YES,YES,NO,NO,"Support car-accident page, not a service pillar"
PIRO-004,https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,insurance_support,HIGH,insurance_support_outline,OUTLINE_ONLY_BLOCKED,Confirm insurance/legal boundary wording,"Compulsory motor insurance sources; road-accident compensation sources",YES,YES,NO,NO,"Avoid policy-specific advice"
PIRO-005,https://jus-tice.co.il/punitive-damage/,specialist_support,HIGH,specialist_support_restructure_outline,OUTLINE_ONLY_BLOCKED,Legal review of examples and claims,"Tort law sources; case-law/source anchors after review",YES,YES,NO,NO,"Do not make broad primary by word count"
PIRO-006,https://jus-tice.co.il/outline-of-tort-law/,informational_support,MEDIUM,informational_support_or_merge_outline,OUTLINE_ONLY_BLOCKED,Compare with /tort-lawyer/ and concept pages,"Tort law source anchors; support-page source review",YES,YES,NO,NO,"Potential support or merge-review asset"
PIRO-007,https://jus-tice.co.il/tort-reform/,currentness_sensitive_support,MEDIUM,currentness_review_outline,OUTLINE_ONLY_BLOCKED,Check if content is current and useful,"Current legal/public sources; historical context if relevant",YES,YES,NO,NO,"May need update/narrow/merge decision before public use"
PIRO-008,https://jus-tice.co.il/deep-pocket/,narrow_concept_support,LOW,expand_or_merge_outline,OUTLINE_ONLY_BLOCKED,Decide standalone vs merge,"Tort/damages source anchors after legal review",YES,YES,NO,NO,"Likely merge or expand candidate"
PIRO-009,https://jus-tice.co.il/personal-injury-law/,international_boundary,LOW,boundary_note_outline,OUTLINE_ONLY_BLOCKED,Confirm US/international separation,"US/international sources if kept; Israeli law disclaimer if cross-linking",YES,YES,NO,NO,"Do not mix into Israeli service cluster"
PIRO-010,https://jus-tice.co.il/work-accident-lawyer/,future_boundary_page,HIGH,research_before_outline,RESEARCH_BLOCKED,Decide personal injury vs national insurance vs employment ownership,"Bituach Leumi work injury; Ministry of Labor work-accident reporting; employment-law sources if relevant",YES,YES,NO,NO,"Future-only; no page/link creation"
PIRO-011,OLD_HEBREW_OR_TAXONOMY_DAMAGES_URLS,protected_old_urls,HIGH,exact_url_capture_before_outline,RESEARCH_BLOCKED,Exact URL capture and routing/redirect behavior review,"GSC rows; crawl data; redirect/404 routing review",YES,YES,NO,NO,"No redirect/noindex/deletion until exact URLs are verified"
