id,page,viewport,issue,status,fixed_in,files_changed,next_action
1,Homepage,390px,Hero search stacked badly,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
2,Homepage,430px,Hero title clamp too large,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
3,Homepage,768px,2-col grid squeezed,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
4,Homepage,desktop,Hero depth flat,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
5,Article Archive,390px,Cards too wide,VERIFIED,premium-pass-2.css,assets/css/premium-pass-2.css,
6,Article Archive,desktop,Category chip not distinctive,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
7,Single Article,390px,Sidebar appeared above content,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css single-articles.php,
8,Single Article,390px,Sticky box locked on mobile,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
9,Single Article,768px,2-col layout on tablet broke,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
10,Single Article,desktop,Header was dark gradient not glass,FIXED,single-articles.php,single-articles.php premium-pass-2.css,
11,Category Page,390px,Hero clipped to edge no margin,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css taxonomy-practice-areas.php,
12,Category Page,430px,H1 too large,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
13,Category Page,768px,Glass panel too wide,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
14,Category Page,desktop,Eyebrow dot red accent missing,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
15,Lawyer Archive,390px,2-col cards too cramped,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
16,Lawyer Archive,430px,Placeholder initials too large,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
17,Lawyer Archive,desktop,Cards too basic no red accent,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
18,Lawyer Profile,390px,Profile grid still 2-col,NEEDS NEXT PASS,,, Work on single-lawyers.php
19,Lawyer Profile,430px,Avatar not centered,NEEDS NEXT PASS,,, Work on single-lawyers.php
20,Header,390px,Phone CTA in header broke layout,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
21,Header,430px,Mobile menu absolute not fixed,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
22,Header,768px,Menu toggle hidden,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
23,Header,desktop,Logo missing (null bytes broke CSS),FIXED,premium-pass-2.css,site-header.php premium-pass-2.css,
24,Footer,390px,Grid columns crushed,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
25,Footer,430px,Logo span 2 broke narrow screen,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css site-footer.php,
26,Footer,desktop,No red top accent,FIXED,premium-pass-2.css site-footer.php,assets/css/premium-pass-2.css,
27,Logo,all,Logo was img not showing,FIXED,site-header.php,template-parts/layout/site-header.php premium-pass-2.css,
28,Logo,all,Footer logo was broken img,FIXED,site-footer.php,template-parts/layout/site-footer.php,
29,Glass panels,all,Corrupted null bytes in CSS,FIXED,main.css repaired,assets/css/main.css,
30,Red accent,all,Crimson accent completely missing,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
31,Performance,mobile,No reduced-motion fallback,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
32,Performance,mobile,Heavy glass on hero mobile,FIXED,premium-pass-2.css,assets/css/premium-pass-2.css,
