"priority_lane","post_id","topic_cluster","title","representative_url_or_slug","recommended_decision","reason","approval_required"
"P0","1903","employment-law","מדריך למעסיק חל”ת ופיטורי עובדים | עורך דין דיני עבודה לייצוג מעסיקים","https://jus-tice.co.il/coronavirus-employers-guide/","REFRESH_EVERGREEN","Still maps to paying employment-law/employer intent; remove stale corona framing and connect to /labor-lawyer/.","YES_BEFORE_CMS_EDIT"
"P0","2429","outdated-corona-legacy","ביטוח מפני אובדן כושר עבודה | ירידה בהכנסות עקב משבר הקורונה","https://jus-tice.co.il/income-protection-insurance/","REFRESH_OR_RECLASSIFY","Live 200 sample; may support income-protection/disability insurance intent if updated beyond corona-era facts.","YES_BEFORE_CMS_EDIT"
"P0","1978","outdated-corona-legacy","עצמאים ופרילנסרים | זכויות בעקבות משבר הקורונה","self-employed-and-freelancer","REFRESH_IF_CURRENT_LAW_VERIFIED","Could become evergreen freelancer/self-employed rights support if legal basis is current.","YES_BEFORE_CMS_EDIT"
"P1","2651","cyber-privacy","קורונה שב”כ פרטיות: שימוש כפוי ביישומון לאיתור מגעים או בטכנולוגיית מעקב אחרת","corona-virus/privacy-surveillance","HISTORICAL_ARCHIVE_OR_PRIVACY_REFRESH","Potential privacy/surveillance value; do not treat as disposable corona news.","YES_BEFORE_CMS_EDIT"
"P1","1974","cyber-privacy","קורונה – סקירה יומית – 23.3.2020 מערך הסייבר הלאומי","corona-cyber-daily-review-2020","HISTORICAL_ARCHIVE","Likely dated but may support cyber/privacy archive context.","YES_BEFORE_CMS_EDIT"
"P1","6477","outdated-corona-legacy","מתן חיסון קורונה חרף התנגדות האב","old family/court-decision URL","HISTORICAL_ARCHIVE_OR_FAMILY_SUPPORT","Could have family-law/custody precedent value; do not prune without evidence.","YES_BEFORE_CMS_EDIT"
"P1","2753","medical-malpractice","ניתוח מאפייני תחלואה בקורונה בקרב ילדים","https://jus-tice.co.il/characteristics-and-outcomes-of-children-with-coronavirus/","MEDICAL_INFO_REVIEW","Health/legal info requires accuracy review; not automatically commercial.","YES_BEFORE_CMS_EDIT"
"P2","2288","outdated-corona-legacy","קורונה: מתווה הקניונים","articles/mall-framework","NOINDEX_OR_ARCHIVE_REVIEW","Likely stale practical regulation page; needs GSC/backlink evidence before noindex/410.","YES_BEFORE_CMS_EDIT"
"P2","2235","outdated-corona-legacy","הנחיות להתמודדות עם נגיף הקורונה 19-COVID","corona-guidelines","NOINDEX_OR_ARCHIVE_REVIEW","General health emergency guidance likely obsolete unless kept as historical archive.","YES_BEFORE_CMS_EDIT"
"P2","2183","outdated-corona-legacy","קורונה: הרובעים בעיר ירושלים המוכרזים כאזור מוגבל","jerusalem-restricted-areas-corona","NOINDEX_OR_ARCHIVE_REVIEW","Location restriction update is likely obsolete and low commercial value.","YES_BEFORE_CMS_EDIT"
"P2","2160","outdated-corona-legacy","קורונה: הנחיות המשטרה לפסח","police-passover-corona-guidance","NOINDEX_OR_ARCHIVE_REVIEW","Time-bound emergency instruction; needs evidence before pruning.","YES_BEFORE_CMS_EDIT"
"P2","2149","outdated-corona-legacy","מסכה תוצרת בית נגד קורונה: לבישת מסכות פה-אף בכדי להקטין את סיכון ההדבקה","homemade-mask-corona","NOINDEX_OR_ARCHIVE_REVIEW","Health guidance is outdated and not core legal money intent.","YES_BEFORE_CMS_EDIT"
"P2","2113","outdated-corona-legacy","הנחיות הקורונה: בפגישה עם שוטר – יש להסביר לשוטר לאן אתה הולך","corona-police-meeting-guidance","NOINDEX_OR_ARCHIVE_REVIEW","Old movement-restriction advice; do not send users to stale practical instructions.","YES_BEFORE_CMS_EDIT"
"P2","2103","outdated-corona-legacy","בדיקות קורונה: מתן תשובות המעבדות מתעכבת עקב בעיית מחשוב","corona-test-lab-delay","NOINDEX_OR_ARCHIVE_REVIEW","Stale news-style update; likely not useful current legal content.","YES_BEFORE_CMS_EDIT"
"P2","2091","outdated-corona-legacy","תקנות שעת חירום (נגיף הקורונה החדש) (מענק הסתגלות מיוחד לבני 67 ומעלה), התש״ף-2020","corona-adjustment-grant-67-plus","HISTORICAL_ARCHIVE_OR_NOINDEX_REVIEW","Old benefit regulation; could remain archive but should not be commercial priority.","YES_BEFORE_CMS_EDIT"
"P2","2086","outdated-corona-legacy","תקנות שעת חירום (נגיף הקורונה החדש) (הוראות מיוחדות לעניין ביטוח אבטלה)","corona-unemployment-emergency-regulations","HISTORICAL_ARCHIVE_OR_REFRESH","Could support employment/unemployment evergreen guide if current law is updated.","YES_BEFORE_CMS_EDIT"
"P2","1966","outdated-corona-legacy","קורונה: סוגי עניינים שיידונו בבתי הדין לעבודה","corona-labor-court-activity","HISTORICAL_ARCHIVE_OR_REFRESH","Employment-law archive; possible link to current labor-court/employer guide after review.","YES_BEFORE_CMS_EDIT"
"P2","1951","outdated-corona-legacy","קורונה: תקנות שעת חירום – לקוחות שהשיקים שלהם חזרו חשבונם לא יוקפא","corona-returned-checks-emergency-regulations","HISTORICAL_ARCHIVE_OR_NOINDEX_REVIEW","Old emergency finance regulation; needs evidence before keeping indexed.","YES_BEFORE_CMS_EDIT"
