checked_at,url,http_status,content_type,redirect_location,xml_valid,loc_count,http_loc_count,https_loc_count,classification,status,notes
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/robots.txt,200,text/plain,,NOT_XML,0,0,0,ROBOTS_PUBLIC,LIVE VERIFIED,Body snippet was empty in shell check; sitemap directive still needs browser/source review.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/sitemap.xml,301,text/html; charset=UTF-8,https://jus-tice.co.il,NO,0,0,0,BAD_SITEMAP_ALIAS,LIVE VERIFIED BLOCKER,Default sitemap URL redirects to homepage HTML; do not submit this URL to GSC.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/wp-sitemap.xml,301,text/html; charset=UTF-8,https://jus-tice.co.il,NO,0,0,0,BAD_WP_SITEMAP,LIVE VERIFIED BLOCKER,WordPress core sitemap URL redirects to homepage HTML; likely disabled or masked by redirect/catch-all layer.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/sitemap_index.xml,200,text/xml; charset=UTF-8,,YES,9,0,9,ACTIVE_SITEMAP_INDEX,LIVE VERIFIED,Active sitemap index; all child sitemap locs use HTTPS.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/page-sitemap.xml,200,text/xml; charset=UTF-8,,YES,11,10,1,PAGE_SITEMAP_WITH_HTTP_URLS,LIVE VERIFIED BLOCKER,Contains 10 HTTP page URLs including family-law cluster and lawyer account pages.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/post-sitemap.xml,301,text/html; charset=UTF-8,https://jus-tice.co.il,NO,0,0,0,BAD_UNUSED_POST_SITEMAP,LIVE VERIFIED,Standard post sitemap alias redirects to homepage; articles use articles-sitemap*.xml instead.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/articles-sitemap1.xml,200,text/xml; charset=UTF-8,,YES,252,238,14,ARTICLE_SITEMAP_WITH_HTTP_URLS,LIVE VERIFIED BLOCKER,Contains mostly HTTP article URLs; must be fixed before migration.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/articles-sitemap2.xml,200,text/xml; charset=UTF-8,,YES,217,217,0,ARTICLE_SITEMAP_WITH_HTTP_URLS,LIVE VERIFIED BLOCKER,All sampled article URLs are HTTP.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/category-sitemap.xml,200,text/xml; charset=UTF-8,,YES,17,0,17,CATEGORY_SITEMAP_HTTPS,LIVE VERIFIED,Category sitemap uses HTTPS in sampled parse; quality/cannibalization still needs review.
2026-05-10T21:42:00+03:00,https://jus-tice.co.il/practice-areas-sitemap.xml,200,text/xml; charset=UTF-8,,YES,48,34,14,PRACTICE_SITEMAP_MIXED_WITH_MEDIA,LIVE VERIFIED BLOCKER,Contains HTTP taxonomy/media locs including an image URL; needs sitemap-generator and taxonomy cleanup review.
