field,required,example,notes
source_system,yes,court.gov.il,"Use official source first where possible."
official_source_url,yes,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,"Search/result/source URL."
document_url,no,,"Direct document/PDF URL if available."
case_number,yes,,"Court case number."
court,yes,,"Court name."
judge_or_panel,no,,"Judge or panel if public."
decision_date,yes,2026-05-20,"Date of decision."
discovery_date,yes,2026-05-20,"Date Jus-Tice found/intaked the item."
legal_field,yes,family-law,"Primary field."
subtopic,yes,child-support,"Specific topic."
parties_or_anonymized_title,yes,,"Use anonymized title where needed."
publication_status,yes,unknown,"allowed / unknown / restricted / blocked."
privacy_risk,yes,high,"low / medium / high."
sensitive_flags,yes,family;minors,"Family, minors, medical, criminal, sealed, other."
allowed_for_publication,yes,unknown,"yes / no / unknown."
jus_tice_summary_status,yes,not_started,"not_started / drafted / reviewed / approved."
reviewing_lawyer,no,Maya Rotenberg,"Authority/reviewer when available."
connected_guide_url,no,https://jus-tice.co.il/divorce-lawyer/,"Guide this verdict supports."
connected_lawyer_url,no,,"Lawyer profile this supports."
index_policy,yes,hold,"index / noindex / hold."
owner_approval_status,yes,not_requested,"not_requested / requested / approved / rejected."
notes,no,,"Internal notes."
