post_id,post_type,wp_status,current_url,current_slug,current_title,author_id,published_date,modified_date,practice_area_ids,practice_area_names,category_ids,tag_ids
14010,articles,publish,http://jus-tice.co.il/rabbinical-agreement-approval/,%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%9c%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%91%d7%91%d7%aa%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a8,מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים,282,2026-02-23,2026-02-23,68,דיני משפחה,,
13152,articles,publish,http://jus-tice.co.il/most-recommended-family-lawyer/,%d7%94%d7%9e%d7%9c%d7%a6%d7%95%d7%aa-2026-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%94,המלצות 2026 עורך דין לענייני משפחה מומלץ  | התייעצות עם עורך דין לענייני משפחה וירושה,282,2025-12-11,2025-12-11,68,דיני משפחה,,
12987,articles,publish,http://jus-tice.co.il/future-of-divorce-process/,%d7%9b%d7%99%d7%a6%d7%93-%d7%99%d7%a8%d7%90%d7%94-%d7%91%d7%a2%d7%aa%d7%99%d7%93-%d7%94%d7%9c%d7%99%d7%9a-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%aa%d7%97%d7%96%d7%99%d7%aa-%d7%9c%d7%a9,כיצד יראה בעתיד הליך גירושין – תחזית לשנים הבאות,282,2025-10-20,2025-10-20,68,דיני משפחה,,
12979,articles,publish,http://jus-tice.co.il/experienced-family-law-attorney/,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%aa%d7%95%d7%aa%d7%97-%d7%9e%d7%a2%d7%9c-20-%d7%a9%d7%a0%d7%95%d7%aa-%d7%a0,עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם – נתונים עדכניים בדיני המשפחה,282,2025-10-19,2025-10-19,68,דיני משפחה,,
12975,articles,publish,http://jus-tice.co.il/1396562-2/,%d7%a4%d7%a1%d7%93-%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%9c%d7%a9%d7%9c%d7%95%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a7%d7%a4%d7%90%d7%aa-%d7%aa%d7%a9%d7%9c%d7%95,פס&#8221;ד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה,282,2025-10-19,2025-10-19,68,דיני משפחה,,
12946,articles,publish,http://jus-tice.co.il/can-you-be-common-law-married-to-a-married-person/,%d7%94%d7%90%d7%9d-%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%a9%d7%95%d7%90%d7%94-%d7%99%d7%9b%d7%95%d7%9c%d7%94-%d7%9c%d7%94%d7%99%d7%97%d7%a9%d7%91-%d7%99%d7%93%d7%95%d7%a2%d7%94-%d7%91%d7%a6%d7%99%d7%91,האם אישה נשואה יכולה להיחשב ידועה בציבור של אחר? מדריך מקיף ידועים בציבור,282,2025-09-29,2025-09-29,68,דיני משפחה,,
12940,articles,publish,http://jus-tice.co.il/1440015/1/,%d7%90%d7%9b%d7%99%d7%a4%d7%aa-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%a2%d7%9c-%d7%a8%d7%a7%d7%a2-%d7%98%d7%a2%d7%a0%d7%95%d7%aa-%d7%94%d7%93%d7%93%d7%99%d7%95%d7%aa,אכיפת הסכם גירושין על רקע טענות הדדיות בדבר הפרתו,282,2025-09-25,2025-09-25,68,דיני משפחה,,
12934,articles,publish,http://jus-tice.co.il/family-mediation-updated-trends/,%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d-%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%95%d7%92%d7%99%d7%a8,"גישור משפחתי בישראל ובעולם | גישור וגירושין | נתונים, התפתחות ומגמות עדכניות",282,2025-09-17,2025-09-17,68,דיני משפחה,,
12924,articles,publish,http://jus-tice.co.il/investigations-and-intelligence-division/,%d7%90%d7%92%d7%a3-%d7%94%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%95%d7%94%d7%9e%d7%95%d7%93%d7%99%d7%a2%d7%99%d7%9f-%d7%a9%d7%9c-%d7%9e%d7%a9%d7%98%d7%a8%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c,אגף החקירות והמודיעין של משטרת ישראל,282,2025-09-16,2025-09-16,170,משפט פלילי,,
12921,articles,publish,http://jus-tice.co.il/top-experts-family-law/,2025-%d7%94%d7%9e%d7%95%d7%9e%d7%97%d7%99%d7%9d-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94,(2025) המומחים המובילים בדיני משפחה,282,2025-09-15,2025-09-15,68,דיני משפחה,,
