שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
דניאל צבי מהנדס בניין,מהנדסי בניין לחוות דעת,קונסטרוקציה,כפר סבא,073-7798337,,,,https://www.d.co.il/80015801/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
נתיב הנדסה; תיאום ניהול ופיקוח,מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,נתיבות,08-9945610,,,,https://www.d.co.il/8906160/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
מדר עותניאל,מהנדסי בניין לחוות דעת,קונסטרוקציה,רחובות,052-3423433,,,,https://www.d.co.il/17762850/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
"נעמן-איתן חברה להנדסה ובנין בע""מ",מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,תל אביב,03-6493511,,,,https://www.d.co.il/15474620/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
ראיד ג'יריס מהנדסים - RJ ENGINEERS,מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,נשר,072-3251575,,,,https://www.d.co.il/80310254/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
סגל מיכאל,מהנדסי בניין לחוות דעת,קונסטרוקציה,תל אביב,072-3221201,,,,https://www.d.co.il/16930760/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
לאופר מנחם-מהנדס בנין וקונסטרוקציות,מהנדסי בניין לחוות דעת,קונסטרוקציה,גבעת שמואל,072-3226125,,,,https://www.d.co.il/12979440/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
למעי ש. יצחק,מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,בני ברק,072-2594682,,,,https://www.d.co.il/18213700/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
"מצוק מהנדסים בע""מ",מהנדסי בניין לחוות דעת,קונסטרוקציה,הרצליה,09-9583821,,,,https://www.d.co.il/80227105/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
"טל אברהם תכנון בניה ופיקוח בע""מ",מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,קרית מוצקין,072-3256973,,,,https://www.d.co.il/19085160/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
"ע. יפה ניהול פרוייקטים בע""מ",מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,רמת גן,03-6969889,,,,https://www.d.co.il/33137800/23780/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
"לבני מהנדסים בע""מ",מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,פתח תקווה,03-9245525,,,,https://www.d.co.il/12517270/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
אחים להנדסה וביצוע,מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,ירושלים,052-3557583,,,,https://www.d.co.il/80086929/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
"נאמת מהנדסים - תומר ודן שפר מהנדסי בניין ירושלים בע""מ",מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,ירושלים,072-3224004,,,,https://www.d.co.il/22327000/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
"סנקא הנדסת בניין בע""מ",מהנדסי בניין לחוות דעת,הנדסת בניין וחוות דעת,,072-3226926,,,,https://www.d.co.il/31088590/23755/,https://data.labor.gov.il/EngineersAndArchitects.aspx,2026-07-19,שירות הנדסי פורסם במקור ציבורי; מספר רישום מהנדס לא הותאם ויש לאמת במאגר הרשמי
