שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
פרופ' דן עטר,מומחים רפואיים לחוות דעת,אורתופדיה,באר שבע,,https://www.medreviews.co.il/provider/prof-atar-dan,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר ויקטור פלדמן",מומחים רפואיים לחוות דעת,אורתופדיה,כפר סבא,,https://www.medreviews.co.il/provider/dr-feldman-viktor,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר אודי גרימברג",מומחים רפואיים לחוות דעת,אורתופדיה,ראשון לציון,,https://www.medreviews.co.il/provider/dr-grimberg-udi,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר מוחמד מסאלחה",מומחים רפואיים לחוות דעת,אורתופדיה,חיפה,,https://www.medreviews.co.il/provider/dr-masalha-mohamad,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר אלן ענר",מומחים רפואיים לחוות דעת,אורתופדיה,ירושלים,,https://www.medreviews.co.il/provider/dr-aner-alan,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר אלעד מרום",מומחים רפואיים לחוות דעת,אורתופדיה,כפר סבא,,https://www.medreviews.co.il/provider/dr-marom-elad,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר יוסף לייטנר",מומחים רפואיים לחוות דעת,אורתופדיה,כפר סבא,,https://www.medreviews.co.il/provider/dr-yossi-lietner,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר יוסף בלאט",מומחים רפואיים לחוות דעת,אורתופדיה,מודיעין,,https://www.medreviews.co.il/provider/dr-blatt-yosef,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר גיא פלדמן",מומחים רפואיים לחוות דעת,אורתופדיה,חיפה,,https://www.medreviews.co.il/provider/dr-feldman-guy,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר אוריאל גיבנבר",מומחים רפואיים לחוות דעת,אורתופדיה,קריית אונו,,https://www.medreviews.co.il/provider/dr-giwnewer-uriel,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר לאון גרדוב",מומחים רפואיים לחוות דעת,אורתופדיה,נהריה,,https://www.medreviews.co.il/provider/dr-gradov-leon,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
"ד""ר אסף אפשטיין",מומחים רפואיים לחוות דעת,אורתופדיה,כפר סבא,,https://www.medreviews.co.il/provider/dr-epshtein-asaf,,,https://www.medreviews.co.il/search/treatment/medico-legal-reports-orthopedics,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,2026-07-19,השירות/התחום מופיע בעמוד טיפול ציבורי; מספר רישיון רפואי לא הותאם אוטומטית
